t,mu,totalMu,totalDamage,
2.04,0.09125,1.30125,8.300786132812501E-06,
2.06,0.10625,1.3162500000000001,8.4277705078125E-06,
2.08,0.07625,1.3462500000000002,8.441270507812501E-06,
2.1,0.03625,1.38625,8.5992705078125E-06,
2.12,0.0025,1.4200000000000002,9.0088671875E-06,
2.14,-0.0075,1.4300000000000002,9.198835937500001E-06,
2.16,-0.01625,1.4387500000000002,9.393872070312501E-06,
2.18,-0.02875,1.4512500000000002,9.723295898437502E-06,
2.2,-0.0275,1.4525000000000001,9.723296875000001E-06,
2.22,-0.02125,1.4587500000000002,9.723506835937502E-06,
2.24,-0.01625,1.46375,9.724272460937503E-06,
2.26,-0.0325,1.48,9.836492187500002E-06,
2.28,-0.065,1.5125000000000002,1.1069359375E-05,
2.3,-0.115,1.5625,1.4084984375000001E-05,
2.32,-0.13875,1.5862500000000002,1.6085569335937505E-05,
2.34,-0.1225,1.6025,1.6087714843750004E-05,
2.36,-0.09625,1.6287500000000001,1.61239521484375E-05,
2.38,-0.04375,1.68125,1.6514256835937505E-05,
2.4,-0.00375,1.72125,1.7315756835937504E-05,
2.42,0.00125,1.72625,1.7457569335937504E-05,
2.44,0.00375,1.72875,1.7532389648437502E-05,
2.46,0.0175,1.7425000000000002,1.7992917968750005E-05,
2.48,0.0325,1.7575,1.8596656250000003E-05,
2.5,0.09375,1.81875,2.2369608398437504E-05,
2.52,0.12625,1.85125,2.5390381835937505E-05,
2.54,0.12875,1.85375,2.5656217773437507E-05,
2.56,0.11,1.8725,2.5659513671875007E-05,
2.58,0.10875,1.87375,2.5660217773437506E-05,
2.6,0.10875,1.87375,2.5660217773437506E-05,
2.62,0.1025,1.88,2.5665261718750004E-05,
2.64,0.095,1.8875,2.5675439453125007E-05,
2.66,0.0625,1.92,2.5801605468750006E-05,
2.68,0.025,1.9575,2.6214603515625004E-05,
2.7,-0.0125,1.995,2.7065296875000006E-05,
2.72,-0.0325,2.015,2.7752593750000007E-05,
2.74,-0.0475,2.0300000000000002,2.839373828125001E-05,
2.76,-0.0625,2.045,2.9153851562500006E-05,
2.78,-0.07875,2.0612500000000002,3.0123303710937506E-05,
2.8,-0.07125,2.06875,3.012351464843751E-05,
2.82,-0.0625,2.0775,3.0125449218750008E-05,
2.84,-0.05125,2.08875,3.0133702148437508E-05,
2.86,-0.02,2.12,3.022469335937501E-05,
2.88,0.00625,2.14625,3.043036621093751E-05,
2.9,0.01,2.1500000000000004,3.0472826171875008E-05,
2.92,0.00375,2.15625,3.0472948242187508E-05,
2.94,-0.02125,2.1812500000000004,3.0488084960937506E-05,
2.96,-0.05875,2.21875,3.063530175781251E-05,
2.98,-0.0875,2.2475,3.1411626953125E-05,
3,-0.0775,2.2575000000000003,3.1412126953125004E-05,
3.02,-0.0725,2.2625,3.1413314453125E-05,
3.04,-0.06875,2.2662500000000003,3.14149228515625E-05,
3.06,-0.0625,2.2725,3.1419439453125004E-05,
3.08,-0.03875,2.29625,3.14695556640625E-05,
3.1,-0.03125,2.30375,3.150061621093751E-05,
3.12,-0.065,2.3375,3.1519837890625E-05,
3.14,-0.1025,2.375,3.271646875000001E-05,
3.16,-0.12125,2.39375,3.434574121093751E-05,
3.18,-0.11,2.405,3.4346453125000005E-05,
3.2,-0.07875,2.43625,3.4384124023437504E-05,
3.22,-0.0425,2.4724999999999997,3.4589927734375E-05,
3.24,-0.04125,2.47375,3.4601741210937506E-05,
3.26,-0.05375,2.48625,3.460271777343751E-05,
3.28,-0.05125,2.4887499999999996,3.46027255859375E-05,
3.3,-0.04,2.5,3.461588281250001E-05,
3.32,-0.035,2.505,3.4668503906250007E-05,
3.34,-0.035,2.505,3.4668503906250007E-05,
3.36,-0.035,2.505,3.4668503906250007E-05,
3.38,-0.025,2.5149999999999997,3.479352734375001E-05,
3.4,-0.02,2.5199999999999996,3.486667968750001E-05,
3.42,-0.04,2.54,3.4870679687500005E-05,
3.44,-0.04,2.54,3.4870679687500005E-05,
3.46,-0.0325,2.5475,3.487089062500001E-05,
3.48,-0.015,2.5649999999999995,3.4955425781250006E-05,
3.5,-0.0025,2.5774999999999997,3.5192974609375007E-05,
3.52,0.01375,2.59375,3.55858818359375E-05,
3.54,0.06125,2.64125,3.739488964843751E-05,
3.56,0.09875,2.67875,3.9679694335937505E-05,
3.58,0.105,2.6849999999999996,4.014645703125001E-05,
3.6,0.08,2.71,4.015426953125E-05,
3.62,0.05125,2.7387499999999996,4.02241005859375E-05,
3.64,0.03625,2.75375,4.0308932617187505E-05,
3.66,0.0475,2.7649999999999997,4.030964453125001E-05,
3.68,0.07375,2.79125,4.0335299804687504E-05,
3.7,0.115,2.8325,4.1273681640625E-05,
3.72,0.15125,2.86875,4.511699707031251E-05,
3.74,0.1575,2.875,4.592254882812501E-05,
3.76,0.1325,2.9,4.5930361328125E-05,
3.78,0.0675,2.965,4.6287048828125E-05,
3.8,0.00625,3.02625,4.7652588867187506E-05,
3.82,-0.0125,3.045,4.837904882812501E-05,
3.84,-0.03375,3.06625,4.94201826171875E-05,
3.86,-0.02875,3.07125,4.9420245117187504E-05,
3.88,-0.00125,3.09875,4.94373466796875E-05,
3.9,0.03125,3.1312499999999996,4.9557495117187504E-05,
3.92,0.05625,3.15625,4.97846826171875E-05,
3.94,0.0625,3.1624999999999996,4.9866015625000005E-05,
3.96,0.05625,3.16875,4.98661376953125E-05,
3.98,0.0575,3.17,4.9866138671875E-05,
4,0.06125,3.17375,4.98662001953125E-05,
4.02,0.04625,3.1887499999999998,4.98682861328125E-05,
4.04,0.01125,3.22375,4.993344628906251E-05,
4.06,-0.01,3.2449999999999997,5.0056679687500005E-05,
4.08,-0.02125,3.2562499999999996,5.01598544921875E-05,
4.1,-0.03875,3.2737499999999997,5.05935322265625E-05,
4.12,-0.0475,3.2824999999999998,5.112190234375E-05,
4.14,-0.0175,3.3125,5.113540234375E-05,
4.16,0.02,3.3499999999999996,5.127567578125E-05,
4.18,0.0325,3.3625,5.1377902343750006E-05,
4.2,0,3.3949999999999996,5.139506640625E-05,
4.22,-0.01875,3.41375,5.1445208007812505E-05,
4.24,-0.0175,3.415,5.1445208984375005E-05,
4.26,-0.03625,3.43375,5.15403798828125E-05,
4.28,-0.0625,3.46,5.2650341796875E-05,
4.3,-0.05125,3.4712499999999995,5.26510537109375E-05,
4.32,-0.02375,3.49875,5.26794345703125E-05,
4.34,-0.005,3.5175,5.2745396484375E-05,
4.36,0.03,3.5524999999999998,5.3046068359375E-05,
4.38,0.0925,3.6149999999999998,5.4512279296875E-05,
4.4,0.15625,3.67875,5.78841064453125E-05,
4.42,0.175,3.6975,6.0416917968750004E-05,
4.44,0.16875,3.7037499999999994,6.04170400390625E-05,
4.46,0.14625,3.72625,6.04287998046875E-05,
4.48,0.11125,3.7612499999999995,6.05464599609375E-05,
4.5,0.07625,3.7962499999999997,6.0898401367187504E-05,
4.52,0.08375,3.80375,6.08986123046875E-05,
4.54,0.1,3.8199999999999994,6.0905099609375E-05,
4.56,0.08625,3.8337499999999993,6.0906399414062496E-05,
4.58,0.075,3.8449999999999998,6.0930314453125E-05,
4.6,0.0525,3.8674999999999997,6.1349447265625E-05,
4.62,-0.025,3.9449999999999994,6.4430314453125E-05,
4.64,-0.0675,3.9875,6.7560572265625E-05,
4.66,-0.095,4.015000000000001,7.0271814453125E-05,
4.68,-0.12375,4.043749999999999,7.37622666015625E-05,
4.7,-0.15625,4.07625,7.86037763671875E-05,
4.72,-0.16,4.08,7.9228001953125E-05,
4.74,-0.1225,4.1175,7.925436914062499E-05,
4.76,-0.1,4.14,7.9336001953125E-05,
4.78,-0.08,4.16,7.9484001953125E-05,
4.8,-0.0125,4.227499999999999,8.0832525390625E-05,
4.82,0.04,4.279999999999999,8.3228001953125E-05,
4.84,0.05875,4.29875,8.446176660156249E-05,
4.86,0.05875,4.29875,8.446176660156249E-05,
4.88,0.0525,4.305,8.4461888671875E-05,
4.9,0.0125,4.345,8.451123242187499E-05,
4.92,-0.09375,4.45125,8.623505566406249E-05,
4.94,-0.17625,4.5337499999999995,9.256585253906249E-05,
4.96,-0.17625,4.5337499999999995,9.256585253906249E-05,
4.98,-0.15375,4.55625,9.257154785156249E-05,
5,-0.0825,4.6274999999999995,9.297783984374999E-05,
5.02,-0.03125,4.67875,9.409016503906248E-05,
5.04,-0.0425,4.6899999999999995,9.409087695312499E-05,
5.06,-0.07125,4.71875,9.41221650390625E-05,
5.08,-0.12875,4.77625,9.45535947265625E-05,
5.1,-0.11,4.795,9.4556890625E-05,
5.12,-0.05375,4.85125,9.47645322265625E-05,
5.14,0.0075,4.9125,9.659478515625E-05,
5.16,0.06375,4.96875,0.00010040471191406249,
5.18,0.0475,4.985,0.000100406857421875,
5.2,0.01125,5.02125,0.00010047706347656249,
5.22,-0.00875,5.041250000000001,0.00010059525097656248,
5.24,-0.0025,5.047500000000001,0.00010059537304687499,
5.26,0.02625,5.076250000000001,0.00010061668847656249,
5.28,0.0375,5.0875,0.000100644716796875,
5.3,0.05125,5.10125,0.00010070325097656249,
5.32,0.1025,5.152500000000001,0.0001047034453125,
5.34,0.12625,5.1762500000000005,0.00010771411035156249,
5.36,0.0675,5.235,0.00010781549999999999,
5.38,0.0225,5.28,0.00010827249609374998,
5.4,0.01,5.2925,0.000108499615234375,
5.42,0.01125,5.293750000000001,0.0001084996162109375,
5.44,0.01125,5.293750000000001,0.0001084996162109375,
5.46,-0.02,5.325000000000001,0.00010927818749999999,
5.48,-0.04375,5.348750000000001,0.00011017061230468749,
5.5,-0.0625,5.3675000000000015,0.00011107636914062499,
5.52,-0.08625,5.391250000000001,0.00011251196386718749,
5.54,-0.08,5.397500000000001,0.00011251208593749998,
5.56,-0.02125,5.456250000000001,0.00011264927636718749,
5.58,-0.02,5.457500000000001,0.00011265735156249998,
5.6,-0.00875,5.468750000000001,0.0001127447060546875,
5.62,-0.0375,5.4975000000000005,0.00011275658789062499,
5.64,-0.1175,5.577500000000001,0.000115420685546875,
5.66,-0.14375,5.603750000000002,0.0001180210966796875,
5.68,-0.11125,5.636250000000001,0.0001180382607421875,
5.7,0.03125,5.7787500000000005,0.0001207007841796875,
5.72,0.1575,5.905000000000001,0.000132610326171875,
5.74,0.20375,5.951250000000001,0.0001414582763671875,
5.76,0.16,5.995000000000001,0.000141500146484375,
5.78,0.03375,6.121250000000001,0.00014391477636718748,
5.8,-0.09625,6.251250000000001,0.0001549582763671875,
5.82,-0.18875,6.343750000000001,0.00017169181542968747,
5.84,-0.13,6.402500000000001,0.00017179320507812497,
5.86,-0.03125,6.501250000000001,0.00017364530761718747,
5.88,0.04,6.572500000000002,0.00017767666601562496,
5.9,0.08,6.612500000000001,0.00018139725976562497,
5.92,0.0375,6.655000000000001,0.00018143564257812496,
5.94,-0.015,6.707500000000001,0.00018182594726562498,
5.96,-0.0475,6.74,0.00018243359570312498,
5.98,-0.0675,6.760000000000001,0.00018300178320312499,
6,-0.01,6.817500000000001,0.000183096837890625,
6.02,0.00875,6.836250000000001,0.00018322344433593747,
6.04,-0.0225,6.867500000000001,0.00018323870312499996,
6.06,-0.07875,6.92375,0.00018384095605468746,
6.08,-0.14375,6.9887500000000005,0.00018744149902343748,
6.1,-0.165,7.010000000000001,0.00018919364453124998,
6.12,-0.1075,7.067500000000001,0.00018928869921874998,
6.14,0.01625,7.19125,0.00019217081738281247,
6.16,0.11125,7.286250000000001,0.00020034126269531248,
6.18,0.13875,7.313750000000001,0.00020440447363281248,
6.2,0.08625,7.366250000000001,0.00020447682519531248,
6.22,-0.03375,7.486250000000001,0.00020697095019531247,
6.24,-0.12,7.572500000000002,0.00021306633203124997,
6.26,-0.13,7.582500000000001,0.00021410991796874998,
6.28,-0.06375,7.6487500000000015,0.00021425530566406248,
6.3,0.01875,7.731250000000001,0.00021575558105468748,
6.32,0.09,7.802500000000002,0.00021943391796875,
6.34,0.1325,7.8450000000000015,0.00022315386328125,
6.36,0.1675,7.880000000000002,0.00022885871874999997,
6.38,0.16,7.887500000000001,0.00022885892968749997,
6.4,0.09375,7.953750000000001,0.00022905928417968748,
6.42,0.05,7.997500000000002,0.0002296698359375,
6.44,0.0525,8.000000000000002,0.00022966984375,
6.46,0.0575,8.005000000000003,0.000229670046875,
6.48,0.075,8.022500000000003,0.00022967764843749997,
6.5,0.06,8.037500000000001,0.00022967933593749998,
6.52,-0.01,8.107500000000002,0.00023167052343749998,
6.54,-0.015,8.112500000000002,0.00023191353906249997,
6.56,0.04875,8.176250000000003,0.00023204308105468746,
6.58,0.08375,8.211250000000003,0.00023239502246093747,
6.6,0.04,8.255000000000003,0.00023243689257812497,
6.62,-0.04125,8.336250000000003,0.00023438561425781246,
6.64,-0.03125,8.346250000000001,0.00023438611425781247,
6.66,0.005,8.382500000000002,0.00023443508007812497,
6.68,-0.01375,8.401250000000001,0.00023443837597656247,
6.7,-0.02125,8.408750000000001,0.00023444412402343746,
6.72,0.05125,8.481250000000003,0.00023479942871093746,
6.74,0.18375,8.613750000000003,0.00024218879003906244,
6.76,0.18625,8.616250000000003,0.00024271262597656249,
6.78,0.0675,8.735000000000003,0.00024354990624999998,
6.8,-0.0675,8.870000000000003,0.00025088198828125,
6.82,-0.13,8.932500000000003,0.000258527349609375,
6.84,-0.10375,8.958750000000002,0.0002585363935546875,
6.86,-0.0625,9.000000000000004,0.00025868112304687496,
6.88,-0.0525,9.010000000000002,0.00025876009179687503,
6.9,-0.0475,9.015000000000002,0.000258808107421875,
6.92,-0.02875,9.033750000000003,0.0002590463349609375,
6.94,-0.02375,9.038750000000004,0.0002591270810546875,
6.96,-0.0175,9.045000000000002,0.000259239263671875,
6.98,-0.0125,9.050000000000002,0.000259338466796875,
7,0.03125,9.093750000000004,0.0002606237255859375,
7.02,0.10375,9.166250000000002,0.0002649132900390625,
7.04,0.10375,9.166250000000002,0.0002649132900390625,
7.06,0.0875,9.182500000000003,0.000264915435546875,
7.08,0.00625,9.263750000000002,0.0002653767197265625,
7.1,-0.065,9.335000000000003,0.000267316,
7.12,-0.04375,9.356250000000003,0.00026732079785156247,
7.14,-0.00625,9.393750000000002,0.0002674173896484375,
7.16,-0.02,9.407500000000002,0.00026741868945312497,
7.18,-0.0525,9.440000000000001,0.00026746685546875,
7.2,-0.0475,9.445000000000002,0.00026746691796875,
7.22,0.005,9.497500000000002,0.000267586431640625,
7.24,0.06125,9.55375,0.0002684210849609375,
7.26,0.02875,9.586250000000001,0.00026843824902343747,
7.28,-0.04875,9.663750000000002,0.0002690865849609375,
7.3,-0.01875,9.693750000000001,0.00026910008496093746,
7.32,0.075,9.787500000000001,0.00027011793164062495,
7.34,0.085,9.797500000000003,0.000270433431640625,
7.36,0.0175,9.865000000000002,0.000270587205078125,
7.38,-0.0475,9.930000000000003,0.00027159653320312497,
7.4,-0.06875,9.951250000000003,0.0002722846982421875,
7.42,0.0525,10.072500000000003,0.00027317598046875,
7.44,0.12,10.140000000000004,0.00027627773437500006,
7.46,0.0375,10.222500000000004,0.00027655849218750006,
7.48,-0.08125,10.341250000000004,0.00028035320410156253,
7.5,-0.175,10.435000000000004,0.00029184735546875006,
7.52,-0.25625,10.516250000000003,0.0003130771591796876,
7.54,-0.36125,10.621250000000003,0.0003545902216796875,
7.56,-0.41,10.670000000000003,0.00038000561523437505,
7.58,-0.36875,10.711250000000003,0.0003800407099609376,
7.6,-0.19375,10.886250000000004,0.00038506197949218757,
7.62,-0.11375,10.966250000000002,0.0003930056669921876,
7.64,-0.13,10.982500000000003,0.0003930078125000001,
7.66,-0.12375,10.988750000000003,0.00039300793457031254,
7.68,-0.00375,11.108750000000004,0.0004135334658203126,
7.7,0.11375,11.226250000000004,0.0004518459013671876,
7.72,0.1175,11.230000000000004,0.0004533999921875001,
7.74,0.00625,11.341250000000004,0.0004540884384765626,
7.76,-0.085,11.432500000000005,0.0004575518750000001,
7.78,-0.0425,11.475000000000005,0.0004575902578125001,
7.8,0.0025,11.520000000000003,0.0004578868359375001,
7.82,-0.0025,11.525000000000004,0.0004578868984375001,
7.84,-0.04375,11.566250000000004,0.00045793630175781257,
7.86,0.065,11.675000000000004,0.0004593383066406251,
7.88,0.2925,11.902500000000003,0.0005617566738281251,
7.9,0.38375,11.993750000000002,0.0006384593564453126,
7.92,0.29375,12.083750000000002,0.0006388238564453126,
7.94,0.0875,12.290000000000003,0.000651459408203125,
7.96,-0.1225,12.500000000000004,0.000703332525390625,
7.98,-0.22,12.597500000000004,0.0007484970390625001,
8,-0.21,12.607500000000002,0.0007484975390625,
8.02,-0.16375,12.653750000000002,0.0007485860283203125,
8.04,-0.085,12.732500000000002,0.0007497272265625,
8.06,0.045,12.862500000000002,0.0007578018515625,
8.08,0.155,12.972500000000004,0.0007748642265625,
8.1,0.15,12.977500000000003,0.0007748642890625001,
8.12,-0.07875,13.206250000000002,0.0007812501669921875,
8.14,-0.23375,13.361250000000002,0.0008089220361328126,
8.16,-0.28125,13.408750000000003,0.0008382335439453127,
8.18,-0.145,13.545000000000003,0.0008394982207031252,
8.2,-0.0375,13.652500000000003,0.0008454746328125001,
8.22,-0.05625,13.671250000000004,0.0008454779287109377,
8.24,-0.12875,13.743750000000002,0.0008458545322265626,
8.26,-0.0925,13.780000000000003,0.0008458783496093751,
8.28,-0.04375,13.828750000000003,0.0008461615947265626,
8.3,0.03875,13.911250000000003,0.0008553773427734376,
8.32,0.08375,13.956250000000002,0.0008633069052734377,
8.34,0.13875,14.011250000000002,0.0008760373427734376,
8.36,0.22625,14.098750000000003,0.0009043482412109376,
8.38,0.245,14.117500000000003,0.0009118629335937501,
8.4,0.145,14.217500000000001,0.0009123629335937502,
8.42,0.07125,14.291250000000002,0.0009144856083984377,
8.44,0.0625,14.300000000000002,0.0009149021289062501,
8.46,0.095,14.332500000000003,0.0009149192929687501,
8.48,0.09,14.337500000000002,0.0009149193554687501,
8.5,0.01125,14.416250000000002,0.0009182832021484376,
8.52,-0.045,14.472500000000002,0.0009240917617187501,
8.54,-0.07125,14.498750000000001,0.0009277119853515626,
8.56,-0.0375,14.532500000000002,0.0009277312070312501,
8.58,0.05125,14.621250000000002,0.0009286311181640626,
8.6,0.15125,14.721250000000001,0.0009332195556640626,
8.62,0.13,14.742500000000003,0.000933224353515625,
8.64,0.00375,14.868750000000002,0.0009348240791015627,
8.66,-0.055,14.927500000000002,0.0009376063964843752,
8.68,0.01625,14.998750000000001,0.0009377872490234375,
8.7,0.1425,15.125000000000002,0.0009414582636718752,
8.72,0.165,15.1475,0.000943078703125,
8.74,0.14,15.172500000000003,0.000943086515625,
8.76,0.1075,15.205000000000002,0.0009431737578125001,
8.78,0.06625,15.246250000000002,0.0009435601865234375,
8.8,-0.07125,15.383750000000003,0.0009496717392578125,
8.82,-0.12125,15.433750000000002,0.0009584212314453127,
8.84,0.0825,15.637500000000003,0.0009626504765625002,
8.86,0.21,15.765,0.000976594693359375,
8.88,0.1925,15.782500000000002,0.0009765973730468751,
8.9,0.0525,15.922500000000001,0.000978548185546875,
8.92,-0.0275,16.0025,0.000983292935546875,
8.94,0.0375,16.067500000000003,0.0009834302480468751,
8.96,0.2525,16.282500000000002,0.000999542109375,
8.98,0.24125,16.293750000000003,0.0009995428212890625,
9,0.055,16.480000000000004,0.0010033939765625001,
9.02,0.01625,16.518750000000004,0.0010061351455078124,
9.04,0.03625,16.53875,0.0010061391455078125,
9.06,0.13125,16.633750000000003,0.0010068955830078124,
9.08,0.21625,16.71875,0.0010101351455078125,
9.1,0.195,16.740000000000002,0.001010139943359375,
9.12,0.10375,16.831250000000004,0.0010108470595703125,
9.14,0.05625,16.878750000000004,0.0010121831455078124,
9.16,-0.04375,16.97875,0.0010205421611328125,
9.18,-0.18125,17.11625,0.0010483447685546874,
9.2,-0.315,17.25,0.0011071149550781248,
9.22,-0.335,17.270000000000003,0.0011221857519531247,
9.24,-0.145,17.46,0.0011256152519531248,
9.26,-0.00375,17.60125,0.0011403592138671873,
9.28,0.0425,17.6475,0.001149083806640625,
9.3,-0.04625,17.73625,0.0011494333291015625,
9.32,-0.20625,17.896250000000002,0.0011567797041015624,
9.34,-0.23,17.92,0.001159201220703125,
9.36,-0.20125,17.948750000000004,0.0011592131025390624,
9.38,-0.08375,18.066250000000004,0.0011607652958984373,
9.4,0.00375,18.153750000000002,0.0011655871611328124,
9.42,-0.0075,18.165000000000003,0.0011655878730468749,
9.44,0.02375,18.196250000000003,0.0011673720068359375,
9.46,0.0925,18.265000000000004,0.0011814861523437498,
9.48,0.0725,18.285000000000004,0.00118149015234375,
9.5,-0.065,18.422500000000007,0.00118343964453125,
9.52,-0.2225,18.580000000000005,0.00119711408984375,
9.54,-0.28625,18.643750000000004,0.0012086522919921875,
9.56,-0.28125,18.648750000000007,0.0012086523544921875,
9.58,-0.17125,18.758750000000006,0.0012094127294921876,
9.6,-0.05,18.880000000000003,0.001215245328125,
9.62,-0.02375,18.906250000000004,0.0012176962373046875,
9.64,0.0575,18.987500000000004,0.0012289617402343749,
9.66,0.14125,19.071250000000006,0.0012507643818359373,
9.68,0.13375,19.078750000000007,0.0012507645927734372,
9.7,0.05875,19.153750000000002,0.0012510451396484375,
9.72,-0.02375,19.236250000000005,0.0012530104443359373,
9.74,0.06,19.320000000000004,0.0012533041582031249,
9.76,0.14375,19.403750000000002,0.0012561115322265624,
9.78,0.02,19.527500000000003,0.0012570590898437499,
9.8,-0.05125,19.598750000000003,0.0012598189697265623,
9.82,-0.12,19.667500000000004,0.0012652852929687498,
9.84,-0.1275,19.675000000000004,0.0012660903535156249,
9.86,-0.0925,19.71,0.0012661117910156248,
9.88,-0.19375,19.81125,0.0012753760869140623,
9.9,-0.27875,19.896250000000002,0.0012938638525390625,
9.92,-0.235,19.94,0.0012939057226562499,
9.94,-0.10375,20.071250000000003,0.0012965435400390623,
9.96,0.01625,20.191250000000004,0.0013067000400390624,
9.98,0.01625,20.191250000000004,0.0013067000400390624,
10,-0.13625,20.34375,0.0013084733291015625,
10.02,-0.25375,20.46125,0.0013165415400390624,
10.04,-0.24125,20.473750000000003,0.0013165425166015623,
10.06,-0.2075,20.5075,0.0013165910058593748,
10.08,-0.21625,20.51625,0.0013165913408203123,
10.1,-0.0575,20.674999999999997,0.0013203214023437496,
