TotalMuLength,Damage,
0.0012499999999999734,9.765624999999379E-13,
0.0012499999999999734,9.765624999999379E-13,
0.0012499999999999976,9.765624999999942E-13,
0.0012499999999999976,9.765624999999942E-13,
0.0012499999999999994,9.765624999999988E-13,
0.0012499999999999994,9.765624999999988E-13,
0.0012500000000000011,9.765625000000025E-13,
0.0012500000000000011,9.765625000000025E-13,
0.0012500000000000011,9.765625000000025E-13,
0.0012500000000000011,9.765625000000025E-13,
0.0012500000000000289,9.765625000000673E-13,
0.0012500000000000289,9.765625000000673E-13,
0.0025000000000000022,7.81250000000002E-12,
0.0025000000000000022,7.81250000000002E-12,
0.0025000000000000022,7.81250000000002E-12,
0.0025000000000000022,7.81250000000002E-12,
0.0037499999999999964,2.636718749999992E-11,
0.0037499999999999964,2.636718749999992E-11,
0.003750000000000031,2.6367187500000653E-11,
0.003750000000000031,2.6367187500000653E-11,
0.0049999999999999975,6.249999999999993E-11,
0.0049999999999999975,6.249999999999993E-11,
0.005000000000000001,6.250000000000004E-11,
0.005000000000000001,6.250000000000004E-11,
0.0050000000000000044,6.250000000000016E-11,
0.0050000000000000044,6.250000000000016E-11,
0.0050000000000001155,6.250000000000431E-11,
0.0050000000000001155,6.250000000000431E-11,
0.006249999999999992,1.220703124999995E-10,
0.006249999999999992,1.220703124999995E-10,
0.006250000000000033,1.2207031250000198E-10,
0.006250000000000033,1.2207031250000198E-10,
0.0075,2.109375E-10,
0.0075,2.109375E-10,
0.0075000000000000015,2.1093750000000013E-10,
0.0075000000000000015,2.1093750000000013E-10,
0.008749999999999994,3.3496093749999926E-10,
0.008749999999999994,3.3496093749999926E-10,
0.00875,3.3496093750000014E-10,
0.00875,3.3496093750000014E-10,
0.008750000000000008,3.3496093750000087E-10,
0.008750000000000008,3.3496093750000087E-10,
0.008750000000000008,3.3496093750000087E-10,
0.008750000000000008,3.3496093750000087E-10,
0.008750000000000008,3.3496093750000087E-10,
0.008750000000000008,3.3496093750000087E-10,
0.010000000000000002,5.000000000000003E-10,
0.010000000000000002,5.000000000000003E-10,
0.010000000000000009,5.000000000000013E-10,
0.010000000000000009,5.000000000000013E-10,
0.011249999999999982,7.119140624999965E-10,
0.011249999999999982,7.119140624999965E-10,
0.011249999999999982,7.119140624999965E-10,
0.011249999999999982,7.119140624999965E-10,
0.01125,7.119140624999999E-10,
0.01125,7.119140624999999E-10,
0.01125000000000001,7.119140625000019E-10,
0.01125000000000001,7.119140625000019E-10,
0.012499999999999997,9.765624999999995E-10,
0.012499999999999997,9.765624999999995E-10,
0.0125,9.765625000000002E-10,
0.0125,9.765625000000002E-10,
0.014999999999999986,1.6874999999999948E-09,
0.014999999999999986,1.6874999999999948E-09,
0.015,1.6875E-09,
0.015,1.6875E-09,
0.01625,2.1455078125000003E-09,
0.01625,2.1455078125000003E-09,
0.01625,2.1455078125000003E-09,
0.01625,2.1455078125000003E-09,
0.01874999999999999,3.295898437499994E-09,
0.01874999999999999,3.295898437499994E-09,
0.01874999999999999,3.295898437499994E-09,
0.01874999999999999,3.295898437499994E-09,
0.01875,3.2958984374999995E-09,
0.018750000000000044,3.2958984375000235E-09,
0.018750000000000044,3.2958984375000235E-09,
0.02,4E-09,
0.02,4E-09,
0.020000000000000004,4.000000000000003E-09,
0.020000000000000004,4.000000000000003E-09,
0.022499999999999992,5.695312499999995E-09,
0.022499999999999992,5.695312499999995E-09,
0.02250000000000002,5.695312500000015E-09,
