t,ytt,x,xt,xtt,xtt+ytt,f,
0,-1.5,0,0,0,0,0,
0.02,-0.7,0.0002456630832352303,0.02183914732701151,-1.517931554366319,-2.217931554366319,0.0004913261664704606,
0.04,0.9,0.0007108102127037151,0.019282820237780787,-0.7353311143825,0.16466888561750004,0.0014216204254074302,
0.06,1.7,0.0008559116951145285,-0.00742555745332202,0.869009329877115,2.569009329877115,0.001711823390229057,
0.08,0.9,0.00041610562054343245,-0.03379663612444418,1.6963138401964182,2.596313840196418,0.0008322112410868649,
0.1,1.7,-0.0004912906768119585,-0.05945865516089627,0.941810763413806,2.641810763413806,-0.000982581353623917,
0.12,2.3,-0.002047606624175185,-0.09792024988263251,1.817751333918911,4.1177513339189105,-0.00409521324835037,
0.14,3,-0.004482195725021284,-0.14748981882396667,2.5325523463724555,5.532552346372455,-0.008964391450042568,
0.16,3.3,-0.007995571174099792,-0.20431408044187235,3.3926770914934106,6.69267709149341,-0.015991142348199584,
0.18,3,-0.01263042369787373,-0.25749396449740913,3.895702078929684,6.895702078929684,-0.02526084739574746,
0.2,2.7,-0.01822586139573278,-0.3002592509960339,3.832723238232057,6.532723238232057,-0.03645172279146556,
0.22,2,-0.02454077031075979,-0.32803155028762193,3.792495759684303,5.792495759684304,-0.04908154062151958,
0.24,-0.2,-0.03111871291062037,-0.32156972733729267,3.3497464747579455,3.1497464747579453,-0.06223742582124074,
0.26,-2.6,-0.03706488765666801,-0.2643349192317775,1.3629150302100292,-1.2370849697899708,-0.07412977531333602,
0.28,-4,-0.04141522228991734,-0.16558218348624149,-0.902569546716663,-4.902569546716663,-0.08283044457983468,
0.3,-5.6,-0.04347665796265237,-0.035119336719050445,-2.270370662880336,-7.870370662880336,-0.08695331592530474,
0.32,-6.1,-0.04268363040498679,0.11579506643105156,-3.9585715256044907,-10.05857152560449,-0.08536726080997357,
0.34,-6,-0.03883808539235961,0.26772880191632936,-4.6676652263973,-10.6676652263973,-0.07767617078471922,
0.36,-6.1,-0.03201012665405524,0.4143174280767905,-4.892484842978867,-10.992484842978866,-0.06402025330811048,
0.38,-5.8,-0.022329478561881506,0.5513006337025175,-5.426302962937602,-11.226302962937602,-0.04465895712376301,
0.4,-5.5,-0.010062560626839894,0.6726236731004384,-5.6563191802096,-11.1563191802096,-0.02012512125367979,
0.42,-5.2,0.004459079816977583,0.7764980353338962,-5.968770277945628,-11.16877027794563,0.008918159633955166,
0.44,-4.8,0.020864312366980692,0.8604266049261614,-6.348063224770132,-11.148063224770132,0.041728624733961384,
0.46,-4.6,0.03874197397600579,0.9242392597599582,-6.677901819676443,-11.277901819676442,0.07748394795201158,
0.48,-4.1,0.057687334720653294,0.9660833367569024,-7.241609528205618,-11.341609528205618,0.11537466944130659,
0.5,-3.1,0.07718235983825776,0.9775044919177647,-7.51554794506371,-10.61554794506371,0.15436471967651552,
0.52,-2.6,0.09658502038008705,0.9585643141931417,-7.274394001785952,-9.874394001785952,0.1931700407601741,
0.54,-4.1,0.11549204159601181,0.9346804312675326,-7.511809269266079,-11.611809269266079,0.23098408319202363,
0.56,-5.4,0.1340612756096756,0.9241464303064819,-9.740922019446678,-15.140922019446679,0.2681225512193512,
0.58,-5.6,0.1524609863452258,0.9140821984585275,-11.763519357643602,-17.363519357643604,0.3049219726904516,
0.6,-3.9,0.170429492027889,0.8747844446354722,-12.658072624544479,-16.55807262454448,0.340858984055778,
0.62,-1.3,0.18707718453606315,0.7792446646054264,-11.579279533002953,-12.879279533002954,0.3741543690721263,
0.64,0.4,0.20123715638411369,0.6294088886735426,-9.481806058136733,-9.081806058136733,0.40247431276822737,
0.66,1.6,0.21200270040652602,0.44196307893250936,-8.136147295332188,-6.536147295332189,0.42400540081305205,
0.68,2.4,0.21874608334950302,0.22908787021275284,-7.122113320199688,-4.722113320199687,0.43749216669900604,
0.7,2.5,0.22109323964413324,0.005266793779287727,-6.330396778648765,-3.8303967786487654,0.4421864792882665,
0.72,3.4,0.21890095949826416,-0.2269151054290459,-6.056318513682472,-2.656318513682472,0.4378019189965283,
0.74,5.2,0.2118727607075606,-0.48066219552463857,-4.783195947522945,0.41680405247705554,0.4237455214151212,
0.76,6.3,0.19954519786797492,-0.7537956391355646,-2.393554391310091,3.906445608689909,0.39909039573594984,
0.78,5.6,0.18178730282560607,-1.0169915456625302,-0.4932782758851024,5.106721724114897,0.36357460565121213,
0.8,3.7,0.15915800225538396,-1.2363490410494073,-0.21721347035727767,3.4827865296427225,0.3183160045107679,
0.82,1.5,0.13274602982255937,-1.3938383460646235,-1.0151385236608803,0.4848614763391197,0.26549205964511874,
0.84,-1.2,0.10388367572816867,-1.4794878853838869,-2.0434093400566393,-3.2434093400566395,0.20776735145633735,
0.86,-2.6,0.07399777986556356,-1.500473566713008,-3.555650047237079,-6.15565004723708,0.14799555973112713,
0.88,-2.9,0.044135709386396695,-1.480827198320025,-3.7841492647233492,-6.684149264723349,0.08827141877279339,
0.9,-2.4,0.014905519904484275,-1.4400625592011216,-2.9455555445957766,-5.3455555445957765,0.02981103980896855,
0.92,-1.3,-0.013424179176487519,-1.3929052512678217,-1.3449217399313507,-2.644921739931351,-0.026848358352975037,
0.94,0.3,-0.04084632581016332,-1.3510871658252015,0.82189616967918,1.12189616967918,-0.08169265162032664,
0.96,1.5,-0.06751393967645028,-1.316208884589827,3.4615425641523423,4.961542564152342,-0.13502787935290056,
0.98,1.5,-0.09343798070507867,-1.2728373871344423,5.668632012539307,7.168632012539307,-0.18687596141015733,
1,2.1,-0.11833611339252118,-1.2157708334572066,6.6300573084470935,8.730057308447094,-0.23667222678504235,
1.02,2.9,-0.14203719965023792,-1.1539631131010377,8.142437727781402,11.042437727781403,-0.28407439930047584,
1.04,1.3,-0.16432341312052962,-1.0664999511643587,9.789289334741433,11.089289334741434,-0.32864682624105923,
1.06,-0.8,-0.18434420958039993,-0.926119036665408,8.92675634019274,8.12675634019274,-0.36868841916079986,
1.08,-1.7,-0.20107921816023575,-0.7424091956679151,7.418171019095619,5.718171019095619,-0.4021584363204715,
1.1,-0.9,-0.21396556146271264,-0.5474414136881862,6.95340233919741,6.05340233919741,-0.4279311229254253,
1.12,-0.5,-0.22300886400493114,-0.35727126103874934,8.038725154942197,7.538725154942197,-0.4460177280098623,
1.14,0.2,-0.22830154136758046,-0.17386434663872033,8.578528904322393,8.778528904322393,-0.4566030827351609,
1.16,0.7,-0.2300340223613095,-0.001040102989495844,9.281771307579165,9.981771307579164,-0.460068044722619,
1.18,0.3,-0.22835822347868842,0.16951864709910378,9.651314285516078,9.951314285516078,-0.45671644695737684,
1.2,-0.3,-0.22321320306686168,0.34608468751795696,8.981633192060643,8.681633192060643,-0.44642640613372336,
1.22,-1,-0.21447367080196744,0.5288223507268578,7.967719811607842,6.967719811607842,-0.4289473416039349,
1.24,-1.3,-0.20205857524064189,0.7118231915163602,6.708601792796821,5.408601792796821,-0.40411715048128377,
1.26,-2.2,-0.18600480235009414,0.894212420946251,5.7060651229057635,3.5060651229057633,-0.3720096047001883,
1.28,-4.1,-0.16620698931077899,1.0890529340334625,3.9510256491423124,-0.1489743508576873,-0.33241397862155797,
1.3,-5.3,-0.14236094293116336,1.296153529033752,1.0315463870181327,-4.268453612981867,-0.2847218858623267,
1.32,-4.4,-0.11448741693715823,1.4842927650538151,-1.3397831332870282,-5.739783133287029,-0.22897483387431647,
1.34,-3.6,-0.08326701764354713,1.6307860946618304,-1.727541778546568,-5.327541778546568,-0.16653403528709426,
1.36,-3.2,-0.049513803539498975,1.7386231391675424,-2.3007188684519457,-5.500718868451946,-0.09902760707899795,
1.38,-2.4,-0.013989385957495182,1.806389997309398,-3.3287141645493064,-5.728714164549306,-0.027978771914990364,
1.4,-0.2,0.022349830074045392,1.8154017145986283,-3.9667262478372747,-4.166726247837275,0.044699660148090785,
1.42,3.3,0.058057548949659726,1.7390962042278273,-3.147643985610654,0.15235601438934587,0.11611509789931945,
1.44,3.5,0.09149012150428044,1.5992693093284587,-0.9147955490151349,2.585204450984865,0.1829802430085609,
1.46,2.3,0.12193427143890585,1.445332936783593,-1.8586497684910817,0.44135023150891817,0.2438685428778117,
