t,ytt,x,xt,h,f,xtt,xtt+ytt,K
0.66,1.6,0.214215673,0.44731765,0.03,0.428431347,-10.297248,-8.697248,2
0.68,2.4,0.221002953,0.231410353,0.03,0.442005907,-11.29348173,-8.893481733,2
0.7,2.5,0.223361293,0.004423635,0.03,0.446722587,-11.40519007,-8.905190071,2
0.72,3.4,0.221096227,-0.230930235,0.03,0.442192455,-12.13019691,-8.730196911,2
0.74,5.2,0.213908831,-0.48780944,0.03,0.427817661,-13.55772359,-8.357723586,2
0.76,6.3,0.201390203,-0.764053343,0.03,0.402780406,-14.06666673,-7.766666733,2
0.78,5.6,0.183447053,-1.03026159,0.03,0.366894107,-12.55415797,-6.954157968,2
0.8,3.7,0.160621139,-1.252329857,0.03,0.321242278,-9.652668753,-5.952668753,2
0.82,1.5,0.133977565,-1.412027593,0.03,0.267955129,-6.317104802,-4.817104802,2
0.84,-1.2,0.104864546,-1.499274283,0.03,0.209729092,-2.407564226,-3.607564226,2
0.86,-2.6,0.074660079,-1.52117241,0.03,0.149320158,0.217751481,-2.382248519,2
0.88,-2.9,0.044430349,-1.501800608,0.03,0.088860697,1.719428724,-1.180571276,2
0.9,-2.4,0.01480445,-1.460789229,0.03,0.029608901,2.381709262,-0.018290738,2
0.92,-1.3,-0.013933087,-1.412964531,0.03,-0.027866175,2.400760507,1.100760507,2
0.94,0.3,-0.041764156,-1.370142347,0.03,-0.083528312,1.881457843,2.181457843,2
0.96,1.5,-0.068805571,-1.333999104,0.03,-0.137611141,1.732866537,3.232866537,2
0.98,1.5,-0.095036785,-1.28912236,0.03,-0.190073571,2.754807774,4.254807774,2
1,2.1,-0.120230502,-1.230249306,0.03,-0.240461004,3.132497668,5.232497668,2
1.02,2.9,-0.144196594,-1.166359865,0.03,-0.288393187,3.25644641,6.15644641,2
1.04,1.3,-0.166626361,-1.076616876,0.03,-0.333252722,5.717852528,7.017852528,2
1.06,-0.8,-0.186729149,-0.933661886,0.03,-0.373458297,8.577646487,7.777646487,2
1.08,-1.7,-0.203535896,-0.747012847,0.03,-0.407071792,10.08725743,8.387257431,2
1.1,-0.9,-0.216494579,-0.548855466,0.03,-0.432989158,9.72848059,8.82848059,2
1.12,-0.5,-0.225537762,-0.355462785,0.03,-0.451075523,9.610787568,9.110787568,2
1.14,0.2,-0.230781449,-0.168905982,0.03,-0.461562899,9.044892708,9.244892708,2
1.16,0.7,-0.232401229,0.006928033,0.03,-0.464802458,8.538508786,9.238508786,2
1.18,0.3,-0.230528986,0.180296199,0.03,-0.461057973,8.798307807,9.098307807,2
1.2,-0.3,-0.225131246,0.35947783,0.03,-0.450262492,9.119855307,8.819855307,2
1.22,-1,-0.216090166,0.544630162,0.03,-0.432180333,9.395377892,8.395377892,2
1.24,-1.3,-0.20334578,0.72980843,0.03,-0.406691561,9.122448884,7.822448884,2
1.26,-2.2,-0.186907001,0.914069532,0.03,-0.373814001,9.303661343,7.103661343,2
1.28,-4.1,-0.166661749,1.110455607,0.03,-0.333323499,10.33494611,6.234946108,2
1.3,-5.3,-0.142368956,1.31882376,0.03,-0.284737911,10.5018692,5.201869195,2
1.32,-4.4,-0.114101557,1.507916091,0.03,-0.228203114,8.40736395,4.00736395,2
1.34,-3.6,-0.082473753,1.654864352,0.03,-0.164947505,6.287462148,2.687462148,2
1.36,-3.2,-0.048299428,1.762568131,0.03,-0.096598856,4.482915711,1.282915711,2
1.38,-2.4,-0.012377357,1.829638946,0.03,-0.024754714,2.224165804,-0.175834196,2
1.4,-0.2,0.024292958,1.83739255,0.03,0.048585916,-1.448805392,-1.648805392,2
1.42,3.3,0.060258768,1.759188478,0.03,0.120517536,-6.371601787,-3.071601787,2
