t,ytt,xt,xtt,x,xtt+ytt,f
1.36,-3.2,1.738002978,4.61227131,-0.052369956,1.41227131,-0.104739912
1.38,-2.4,1.807985574,2.385988324,-0.016910071,-0.014011676,-0.033820141
1.4,-0.2,1.819342409,-1.250304791,0.019363209,-1.450304791,0.038726419
1.42,3.3,1.745540943,-6.129841831,0.055012043,-2.829841831,0.110024086
1.44,3.5,1.608221664,-7.60208609,0.088549669,-4.10208609,0.177099338
1.46,2.3,1.456651712,-7.554909075,0.119198403,-5.254909075,0.238396805
1.48,0.6,1.312167364,-6.893525717,0.146886593,-6.293525717,0.293773187
1.5,-0.2,1.173010371,-7.022173611,0.171738371,-7.222173611,0.343476742
1.52,0,1.022467037,-8.03215985,0.193693145,-8.03215985,0.38738629
1.54,0.7,0.848096512,-9.404892601,0.21239878,-8.704892601,0.424797561
1.56,1.5,0.646855487,-10.71920991,0.2273483,-9.219209915,0.454696601
1.58,1.7,0.427060248,-11.260314,0.238087458,-9.560314,0.476174915
1.6,1.7,0.200232635,-11.42244731,0.244360386,-9.722447308,0.488720773
1.62,2.6,-0.03696664,-12.29748012,0.245993046,-9.69748012,0.491986093
1.64,3.7,-0.291658715,-13.17172738,0.242706793,-9.47172738,0.485413586
1.66,4.6,-0.559721574,-13.6345586,0.23419299,-9.034558597,0.46838598
1.68,7.2,-0.851739639,-15.56724783,0.220078378,-8.367247828,0.440156756
1.7,8.8,-1.169904014,-16.24918976,0.199861941,-7.44918976,0.399723883
1.72,8.4,-1.479263061,-14.68671491,0.173370271,-6.286714906,0.346740541
1.74,7.7,-1.752211021,-12.60808112,0.14105553,-4.908081116,0.28211106
1.76,6.6,-1.977796725,-9.950489275,0.103755452,-3.350489275,0.207510905
1.78,4.2,-2.135969714,-5.866809569,0.062617788,-1.666809569,0.125235576
1.8,4.2,-2.235671491,-4.103368114,0.018901376,0.096631886,0.037802752
1.82,5.5,-2.312493803,-3.578863097,-0.026580277,1.921136903,-0.053160554
1.84,7.4,-2.384258483,-3.597604968,-0.0735478,3.802395032,-0.1470956
1.86,6.5,-2.428047281,-0.781274814,-0.121670858,5.718725186,-0.243341715
1.88,4.3,-2.402697329,3.31627001,-0.169978304,7.61627001,-0.339956607
1.9,2,-2.295230395,7.430423455,-0.216957581,9.430423455,-0.433915162
1.92,1.9,-2.128784104,9.214205601,-0.261197726,11.1142056,-0.522395452
1.94,2.4,-1.934193588,10.244846,-0.301827503,12.644846,-0.603655006
1.96,2.8,-1.719680447,11.20646811,-0.338366243,14.00646811,-0.676732486
1.98,4.8,-1.503640376,10.39753897,-0.370599451,15.19753897,-0.741198903
2,5.8,-1.295424288,10.42406979,-0.398590098,16.22406979,-0.797180196
2.02,7.3,-1.093274772,9.790881813,-0.422477089,17.09088181,-0.844954177
2.04,8.5,-0.902298889,9.306706505,-0.442432825,17.8067065,-0.884865651
2.06,6.1,-0.686704398,12.25274265,-0.458322858,18.35274265,-0.916645716
2.08,2.9,-0.406390934,15.7786037,-0.469253811,18.6786037,-0.938507623
2.1,0.2,-0.063258338,18.53465586,-0.473950304,18.73465586,-0.947900608
2.12,-0.6,0.313030145,19.09419249,-0.471452586,18.49419249,-0.942905172
2.14,-1.3,0.696483014,19.25109434,-0.461357455,17.95109434,-0.922714909
2.16,-2.3,1.083022475,19.40285179,-0.4435624,17.10285179,-0.887124799
2.18,-2.2,1.458629466,18.15784732,-0.41814588,15.95784732,-0.83629176
2.2,-1.7,1.802614743,16.24068032,-0.385533438,14.54068032,-0.771066876
2.22,-1.3,2.10684748,14.18259346,-0.346438816,12.88259346,-0.692877632
2.24,-2.6,2.384719799,13.60463838,-0.301523143,11.00463838,-0.603046286
2.26,-5.2,2.661844791,14.10786087,-0.251057497,8.907860872,-0.502114994
2.28,-9.2,2.960678599,15.77551992,-0.194832263,6.575519917,-0.389664527
2.3,-11.1,3.269429553,15.09957544,-0.132531182,3.999575436,-0.265062364
2.32,-9.8,3.5305911,11.0165793,-0.064530975,1.216579302,-0.129061951
2.34,-7.7,3.700733142,5.997624881,0.007782267,-1.702375119,0.015564534
2.36,-3.5,3.749092595,-1.161679519,0.082280525,-4.661679519,0.164561049
2.38,-0.3,3.66490708,-7.25687208,0.156420521,-7.55687208,0.312841043
2.4,0.1,3.4881965,-10.41418586,0.227951557,-10.31418586,0.455903114
2.42,0.3,3.252192508,-13.18621338,0.295355447,-12.88621338,0.590710894
2.44,1.4,2.954090634,-16.62397399,0.357418279,-15.22397399,0.714836557
