t,ytt,xt,x,xtt,xtt+ytt,f,h,K,
0,-1.5,0,0,0,0,0,0,0,
0.02,-0.7,0.009724756611671683,9.724756611671683E-05,0.9724756611671683,0.27247566116716837,0.00019449513223343366,0.03,2,
0.04,0.9,0.0026981993245516955,0.00022147712547895062,-1.675131389879167,-0.7751313898791671,0.00044295425095790123,0.03,2,
0.06,1.7,-0.030966799734790787,-6.120887862344032E-05,-1.691368516055081,0.00863148394491886,-0.00012241775724688064,0.03,2,
0.08,0.9,-0.052765138451918575,-0.0008985282604905339,-0.4884653556576979,0.41153464434230214,-0.0017970565209810677,0.03,2,
0.1,1.7,-0.07768123411428093,-0.002202991986152529,-2.0031442105785384,-0.30314421057853846,-0.004405983972305058,0.03,2,
0.12,2.3,-0.11862951264138423,-0.004166099453709181,-2.091683642131791,0.2083163578682088,-0.008332198907418362,0.03,2,
0.14,3,-0.16790429952896715,-0.007031437575412695,-2.835795046626501,0.16420495337349905,-0.01406287515082539,0.03,2,
0.16,3.3,-0.2231452375459706,-0.010941932946162072,-2.688298755073844,0.6117012449261559,-0.021883865892324144,0.03,2,
0.18,3,-0.27006693749377436,-0.01587405469655952,-2.003871239706531,0.9961287602934692,-0.03174810939311904,0.03,2,
0.2,2.7,-0.3051165456537728,-0.021625889528034993,-1.5010895762933112,1.198910423706689,-0.043251779056069986,0.03,2,
0.22,2,-0.32360232535676575,-0.027913078238140376,-0.34748839400598397,1.652511605994016,-0.05582615647628075,0.03,2,
0.24,-0.2,-0.300898060272792,-0.03415808209443595,2.6179149024033626,2.4179149024033624,-0.0683161641888719,0.03,2,
0.26,-2.6,-0.22442061818914283,-0.0394112688790553,5.029829305961554,2.429829305961554,-0.0788225377581106,0.03,2,
0.28,-4,-0.11297531494815409,-0.04278522821042827,6.11470101813732,2.1147010181373203,-0.08557045642085653,0.03,2,
0.3,-5.6,0.026645955925185774,-0.04364852180065795,7.847426069196667,2.247426069196667,-0.0872970436013159,0.03,2,
0.32,-6.1,0.1810216642325599,-0.0415718455990805,7.590144761540744,1.4901447615407442,-0.083143691198161,0.03,2,
0.34,-6,0.3281739058547737,-0.03647988989820716,7.125079400680634,1.125079400680634,-0.07295977979641433,0.03,2,
0.36,-6.1,0.46815183350350487,-0.028516632504624377,6.87271336419248,0.7727133641924802,-0.057033265009248754,0.03,2,
0.38,-5.8,0.595224744033815,-0.017882866729251178,5.834577688838525,0.03457768883852541,-0.035765733458502355,0.03,2,
0.4,-5.5,0.7035636077046,-0.004894983211867028,4.9993086782399825,-0.5006913217600175,-0.009789966423734055,0.03,2,
0.42,-5.2,0.7934584999734545,0.010075237864913518,3.9901805486454656,-1.2098194513545346,0.020150475729827037,0.03,2,
0.44,-4.8,0.8617883206020992,0.02662770607066906,2.8428015142190044,-1.9571984857809954,0.05325541214133811,0.03,2,
0.46,-4.6,0.9100932509403987,0.04434652178609404,1.9876915196109477,-2.6123084803890517,0.08869304357218807,0.03,2,
0.48,-4.1,0.9357004381945068,0.0628044586774431,0.5730272057998611,-3.5269727942001383,0.1256089173548862,0.03,2,
0.5,-3.1,0.9284285205829,0.08144574826521717,-1.3002189669605364,-4.400218966960536,0.16289149653043433,0.03,2,
0.52,-2.6,0.8930981149472782,0.09966101462051895,-2.2328215966016445,-4.832821596601645,0.1993220292410379,0.03,2,
0.54,-4.1,0.863848471752254,0.11723048048751426,-0.6921427229007726,-4.792142722900772,0.23446096097502853,0.03,2,
0.56,-5.4,0.8527038560283665,0.13439600376532046,-0.4223188494879789,-5.82231884948798,0.2687920075306409,0.03,2,
0.58,-5.6,0.8367426865709265,0.1512904691913134,-1.173798096256013,-6.773798096256012,0.3025809383826268,0.03,2,
0.6,-3.9,0.7837990256997887,0.16749588631402054,-4.1205679908577775,-8.020567990857778,0.3349917726280411,0.03,2,
0.62,-1.3,0.6695734189843796,0.18202961076086221,-7.30199268068313,-8.60199268068313,0.36405922152172443,0.03,2,
0.64,0.4,0.5073652845373904,0.19379899779607992,-8.91882076401579,-8.51882076401579,0.38759799559215985,0.03,2,
0.66,1.6,0.3158445402994907,0.20203109604444874,-10.233253659774181,-8.633253659774182,0.4040621920888975,0.03,2,
0.68,2.4,0.10489375985263077,0.20623847904596998,-10.861824384911813,-8.461824384911813,0.41247695809193996,0.03,2,
0.7,2.5,-0.1091133438492454,0.20619628320600383,-10.538885985275805,-8.038885985275805,0.41239256641200767,0.03,2,
0.72,3.4,-0.3292903723127772,0.2018122460443836,-11.478816861077373,-8.078816861077373,0.4036244920887672,0.03,2,
0.74,5.2,-0.5730736714138688,0.19278860560711716,-12.899513049031786,-7.699513049031785,0.3855772112142343,0.03,2,
0.76,6.3,-0.8305406328737736,0.17875246256424074,-12.847183096958691,-6.547183096958691,0.3575049251284815,0.03,2,
0.78,5.6,-1.064974007462449,0.15979731616087853,-10.596154361908855,-4.9961543619088555,0.31959463232175706,0.03,2,
0.8,3.7,-1.2445234810068013,0.13670234127618602,-7.358792992526378,-3.6587929925263776,0.27340468255237205,0.03,2,
0.82,1.5,-1.3580691009406862,0.11067641545671116,-3.995769000862111,-2.495769000862111,0.2213528309134223,0.03,2,
0.84,-1.2,-1.3976759440666138,0.08311896500663815,0.0350846882693574,-1.1649153117306426,0.1662379300132763,0.03,2,
0.86,-2.6,-1.3781517958872902,0.05536068760709911,1.9173301296629923,-0.6826698703370078,0.11072137521419823,0.03,2,
0.88,-2.9,-1.3285467056700815,0.028293702591525395,3.043178892057889,0.14317889205788914,0.05658740518305079,0.03,2,
0.9,-2.4,-1.2654303771174087,0.0023539317636504945,3.2684539632094007,0.8684539632094008,0.004707863527300987,0.03,2,
0.92,-1.3,-1.2033414200779868,-0.022333786208303463,2.9404417407327847,1.6404417407327847,-0.044667572416606925,0.03,2,
0.94,0.3,-1.1531518686965945,-0.04589871909604928,2.0785133974064496,2.3785133974064494,-0.09179743819209855,0.03,2,
0.96,1.5,-1.1128215571237003,-0.06855845335425223,1.954517759882956,3.4545177598829557,-0.13711690670850446,0.03,2,
0.98,1.5,-1.0616246263275666,-0.0903029151887649,3.1651753197304275,4.6651753197304275,-0.1806058303775298,0.03,2,
1,2.1,-1.0007579157506936,-0.1109267406095475,2.9214957379568673,5.021495737956867,-0.221853481219095,0.03,2,
1.02,2.9,-0.942383358416421,-0.13035815335121864,2.915959995470401,5.815959995470401,-0.2607163067024373,0.03,2,
1.04,1.3,-0.8523583516694154,-0.148305570452077,6.086540679230154,7.386540679230154,-0.296611140904154,0.03,2,
1.06,-0.8,-0.706487068434865,-0.1638940246531198,8.500587644224888,7.700587644224888,-0.3277880493062396,0.03,2,
1.08,-1.7,-0.5283422927227064,-0.17624231826469552,9.31388992699097,7.613889926990971,-0.35248463652939105,0.03,2,
1.1,-0.9,-0.3534153956112235,-0.18505989514803484,8.17879978415732,7.27879978415732,-0.3701197902960697,0.03,2,
1.12,-0.5,-0.18950043632709568,-0.190489053467418,8.21269614425546,7.71269614425546,-0.380978106934836,0.03,2,
1.14,0.2,-0.03550853090486211,-0.1927391431397376,7.186494397967896,7.386494397967896,-0.3854782862794752,0.03,2,
1.16,0.7,0.10355298044877767,-0.19205869864429848,6.7196567373960825,7.419656737396083,-0.38411739728859695,0.03,2,
1.18,0.3,0.24218362072427296,-0.18860133263256798,7.143407290153446,7.443407290153446,-0.37720266526513596,0.03,2,
1.2,-0.3,0.3868955385901285,-0.18231054103942396,7.327784496432102,7.027784496432102,-0.3646210820788479,0.03,2,
1.22,-1,0.535988235703694,-0.17308170329648573,7.581485214924447,6.581485214924447,-0.34616340659297146,0.03,2,
1.24,-1.3,0.6826115947379918,-0.16089570499206887,7.0808506885053255,5.780850688505326,-0.32179140998413774,0.03,2,
1.26,-2.2,0.8290851899234277,-0.14577873714545467,7.566508830038265,5.366508830038264,-0.29155747429090934,0.03,2,
1.28,-4.1,0.993508838202718,-0.1275527968641932,8.875855997890763,4.775855997890764,-0.2551055937283864,0.03,2,
1.3,-5.3,1.1689365736795085,-0.10592834274537094,8.6669175497883,3.3669175497883,-0.21185668549074188,0.03,2,
1.32,-4.4,1.3151570854167485,-0.08108740615440838,5.955133623935692,1.5551336239356912,-0.16217481230881675,0.03,2,
1.34,-3.6,1.4176490182906807,-0.05375934511733409,4.294059663457535,0.6940596634575349,-0.10751869023466817,0.03,2,
1.36,-3.2,1.4876971563095513,-0.024705883371331765,2.7107541384295333,-0.4892458615704669,-0.04941176674266353,0.03,2,
1.38,-2.4,1.5199245923794977,0.005370334115558726,0.5119894685651027,-1.8880105314348972,0.010740668231117453,0.03,2,
1.4,-0.2,1.4914731880157979,0.03548431191951169,-3.3571299049350998,-3.5571299049351,0.07096862383902337,0.03,2,
1.42,3.3,1.3756690229785826,0.06415573402945549,-8.22328659878642,-4.92328659878642,0.12831146805891097,0.03,2,
1.44,3.5,1.2150724371386659,0.09006314863062796,-7.836371985205254,-4.336371985205254,0.18012629726125592,0.03,2,
1.46,2.3,1.0625250607391354,0.11283912360940597,-7.418365654747798,-5.118365654747798,0.22567824721881194,0.03,2,
1.48,0.6,0.9267080418226952,0.13273145463502428,-6.1633362368962334,-5.563336236896234,0.26546290927004856,0.03,2,
1.5,-0.2,0.801287278174906,0.15001140783500028,-6.378740127882686,-6.5787401278826865,0.30002281567000055,0.03,2,
1.52,0,0.6649244058505059,0.1646735246752544,-7.257547104557314,-7.257547104557314,0.3293470493505088,0.03,2,
1.54,0.7,0.5084251759470914,0.17640702049323037,-8.392375885784142,-7.692375885784142,0.35281404098646074,0.03,2,
1.56,1.5,0.3309126343150466,0.18480039859585176,-9.358878277420335,-7.8588782774203345,0.3696007971917035,0.03,2,
1.58,1.7,0.14397880083785453,0.18954931294738075,-9.334505070298869,-7.634505070298869,0.3790986258947615,0.03,2,
1.6,1.7,-0.04156624707732515,0.19057343848498604,-9.219999721219098,-7.519999721219098,0.38114687696997207,0.03,2,
1.62,2.6,-0.23568038895123247,0.18780097212470045,-10.191414466171636,-7.591414466171637,0.3756019442494009,0.03,2,
1.64,3.7,-0.44528217734095027,0.1809913464617786,-10.768764372800142,-7.068764372800142,0.3619826929235572,0.03,2,
1.66,4.6,-0.6627379336311162,0.16991114535205795,-10.976811256216454,-6.376811256216454,0.3398222907041159,0.03,2,
1.68,7.2,-0.9069848465080299,0.1542139175506665,-13.447880031474917,-6.247880031474916,0.308427835101333,0.03,2,
1.7,8.8,-1.1743812879209823,0.13340025620637636,-13.291764109820313,-4.491764109820313,0.2668005124127527,0.03,2,
1.72,8.4,-1.418378689419491,0.10747265643297163,-11.107976040030554,-2.7079760400305535,0.21494531286594326,0.03,2,
1.74,7.7,-1.6205383672516065,0.07708348586626065,-9.107991743180992,-1.4079917431809923,0.1541669717325213,0.03,2,
1.76,6.6,-1.7748010222098372,0.04313009197164622,-6.318273752642069,0.2817262473579305,0.08626018394329243,0.03,2,
1.78,4.2,-1.8574844906064047,0.006807236843483796,-1.9500730870146938,2.2499269129853063,0.013614473686967596,0.03,2,
1.8,4.2,-1.892804116526476,-0.03069564922784501,-1.5818895049924229,2.6181104950075773,-0.06139129845569001,0.03,2,
1.82,5.5,-1.9227184905874337,-0.06885087529898411,-1.409547901103361,4.090452098896639,-0.1377017505979682,0.03,1.9999999999999996,
1.84,7.4,-1.9564706541009915,-0.10764276674586835,-1.9656684502524273,5.434331549747573,-0.21528553349173668,0.03,2,
1.86,6.5,-1.9590258408778503,-0.14679773169565677,1.710149772566544,8.210149772566544,-0.2935954633913135,0.03,1.9999999999999993,
1.88,4.3,-1.887830430887617,-0.18526629441331144,5.409391226456774,9.709391226456773,-0.3705325888266228,0.03,2,
1.9,2,-1.7432524368945237,-0.22157712309113284,9.048408172852557,11.048408172852557,-0.4431542461822656,0.03,2,
1.92,1.9,-1.558904900433109,-0.25459869646440914,9.386345473288916,11.286345473288916,-0.5091973929288183,0.03,2,
1.94,2.4,-1.3651979673646526,-0.28383972514238676,9.984347833556734,12.384347833556735,-0.5676794502847735,0.03,2,
1.96,2.8,-1.1614761583462339,-0.3091064663994956,10.387833068285145,13.187833068285144,-0.6182129327989913,0.03,2,
1.98,4.8,-0.9734996420341491,-0.33045622440329947,8.409818562923327,13.209818562923328,-0.6609124488065989,0.03,2,
2,5.8,-0.8032329143658525,-0.3482235499672995,8.616854203906328,14.416854203906329,-0.696447099934599,0.03,2,
2.02,7.3,-0.6463469135447337,-0.36271934824640534,7.071745878205546,14.371745878205544,-0.7254386964928107,0.03,2,
2.04,8.5,-0.5105171083915417,-0.3742879884657681,6.511234637113655,15.011234637113656,-0.7485759769315362,0.03,2,
2.06,6.1,-0.3411005279199506,-0.382804164828883,10.43042341004546,16.530423410045458,-0.765608329657766,0.03,2,
2.08,2.9,-0.1029523368354345,-0.3872446934764369,13.384395698406147,16.284395698406147,-0.7744893869528738,0.03,2,
2.1,0.2,0.18764288684759192,-0.38639778797631535,15.675126669896494,15.875126669896494,-0.7727955759526307,0.03,2,
2.12,-0.6,0.49640121411774163,-0.37955734696666205,15.200706057118477,14.600706057118478,-0.7591146939333241,0.03,2,
2.14,-1.3,0.8019785155357413,-0.36657354967012723,15.35702408468148,14.05702408468148,-0.7331470993402545,0.03,2,
2.16,-2.3,1.1089553391948008,-0.3474642111228218,15.340658281224474,13.040658281224474,-0.6949284222456436,0.03,2,
2.18,-2.2,1.3976439648525396,-0.32239821808234836,13.52820428454941,11.328204284549411,-0.6447964361646967,0.03,2,
2.2,-1.7,1.6490136310347885,-0.29193164212347505,11.608762333675484,9.908762333675485,-0.5838632842469501,0.03,2,
2.22,-1.3,1.8616297390435799,-0.2568252084226914,9.65284846720364,8.35284846720364,-0.5136504168453828,0.03,2,
2.24,-2.6,2.0571479880182375,-0.21763743115207324,9.898976430262143,7.298976430262144,-0.43527486230414647,0.03,2,
2.26,-5.2,2.2647178481178227,-0.17441877279071263,10.858009579696382,5.658009579696382,-0.34883754558142527,0.03,2,
2.28,-9.2,2.5055306780810978,-0.12671628752872344,13.223273416631134,4.023273416631135,-0.2534325750574469,0.03,2,
2.3,-11.1,2.7555546352022295,-0.07410543439589017,11.779122295482043,0.6791222954820437,-0.14821086879178033,0.03,2,
2.32,-9.8,2.9450050365522147,-0.017099837678345723,7.165917839516458,-2.6340821604835423,-0.03419967535669144,0.03,2,
2.34,-7.7,3.04293135733859,0.04277952626056233,2.626714239121084,-5.073285760878916,0.08555905252112467,0.03,2,
2.36,-3.5,3.0209041150872684,0.10341788098482091,-4.829438464253238,-8.329438464253238,0.20683576196964182,0.03,1.9999999999999998,
2.38,-0.3,2.8776817409397446,0.16240373954509105,-9.492798950499125,-9.792798950499126,0.3248074790901821,0.03,2,
2.4,0.1,2.6720219908757428,0.2179007768632459,-11.073176055901039,-10.973176055901039,0.4358015537264918,0.03,2,
2.42,0.3,2.4280691560940006,0.26890168833294337,-13.322107422273167,-13.022107422273166,0.5378033766658867,0.03,2,
2.44,1.4,2.1326350545499095,0.3145087304393825,-16.221302732135946,-14.821302732135946,0.629017460878765,0.03,2,
2.46,2.6,1.7845172570486598,0.35368025355536814,-18.59047701798902,-15.99047701798902,0.7073605071107363,0.03,2,
2.48,7.5,1.3400512194425818,0.38492593832028055,-25.856126742618777,-18.356126742618777,0.7698518766405611,0.03,2,
2.5,10.1,0.8086683440689993,0.40641313395539636,-27.282160794739468,-17.182160794739467,0.8128262679107927,0.03,2,
