t,ytt,xtt,xt,x,f
1.62,2.6,-12.29748012,-0.03696664,0.245993046,0.491986093
1.64,3.7,-13.17172738,-0.291658715,0.242706793,0.485413586
1.66,4.6,-13.6345586,-0.559721574,0.23419299,0.46838598
1.68,7.2,-15.56724783,-0.851739639,0.220078378,0.440156756
1.7,8.8,-16.24918976,-1.169904014,0.199861941,0.399723883
1.72,8.4,-14.68671491,-1.479263061,0.173370271,0.346740541
1.74,7.7,-12.60808112,-1.752211021,0.14105553,0.28211106
1.76,6.6,-9.950489275,-1.977796725,0.103755452,0.207510905
1.78,4.2,-5.866809569,-2.135969714,0.062617788,0.125235576
1.8,4.2,-4.103368114,-2.235671491,0.018901376,0.037802752
1.82,5.5,-3.578863097,-2.312493803,-0.026580277,-0.053160554
1.84,7.4,-3.597604968,-2.384258483,-0.0735478,-0.1470956
1.86,6.5,-0.781274814,-2.428047281,-0.121670858,-0.243341715
1.88,4.3,3.31627001,-2.402697329,-0.169978304,-0.339956607
1.9,2,7.430423455,-2.295230395,-0.216957581,-0.433915162
1.92,1.9,9.214205601,-2.128784104,-0.261197726,-0.522395452
1.94,2.4,10.244846,-1.934193588,-0.301827503,-0.603655006
1.96,2.8,11.20646811,-1.719680447,-0.338366243,-0.676732486
1.98,4.8,10.39753897,-1.503640376,-0.370599451,-0.741198903
2,5.8,10.42406979,-1.295424288,-0.398590098,-0.797180196
2.02,7.3,9.790881813,-1.093274772,-0.422477089,-0.844954177
2.04,8.5,9.306706505,-0.902298889,-0.442432825,-0.884865651
2.06,6.1,12.25274265,-0.686704398,-0.458322858,-0.916645716
2.08,2.9,15.7786037,-0.406390934,-0.469253811,-0.938507623
2.1,0.2,18.53465586,-0.063258338,-0.473950304,-0.947900608
2.12,-0.6,19.09419249,0.313030145,-0.471452586,-0.942905172
2.14,-1.3,19.25109434,0.696483014,-0.461357455,-0.922714909
2.16,-2.3,19.40285179,1.083022475,-0.4435624,-0.887124799
2.18,-2.2,18.15784732,1.458629466,-0.41814588,-0.83629176
2.2,-1.7,16.24068032,1.802614743,-0.385533438,-0.771066876
2.22,-1.3,14.18259346,2.10684748,-0.346438816,-0.692877632
2.24,-2.6,13.60463838,2.384719799,-0.301523143,-0.603046286
2.26,-5.2,14.10786087,2.661844791,-0.251057497,-0.502114994
2.28,-9.2,15.77551992,2.960678599,-0.194832263,-0.389664527
2.3,-11.1,15.09957544,3.269429553,-0.132531182,-0.265062364
2.32,-9.8,11.0165793,3.5305911,-0.064530975,-0.129061951
2.34,-7.7,5.997624881,3.700733142,0.007782267,0.015564534
2.36,-3.5,-1.161679519,3.749092595,0.082280525,0.164561049
2.38,-0.3,-7.25687208,3.66490708,0.156420521,0.312841043
2.4,0.1,-10.41418586,3.4881965,0.227951557,0.455903114
2.42,0.3,-13.18621338,3.252192508,0.295355447,0.590710894
2.44,1.4,-16.62397399,2.954090634,0.357418279,0.714836557
2.46,2.6,-19.87474239,2.58910347,0.41285022,0.825700439
2.48,7.5,-26.46140561,2.12574199,0.459998674,0.919997348
2.5,10.1,-30.30174027,1.558110531,0.496837199,0.993674399
2.52,10.3,-31.25688081,0.942524321,0.521843548,1.043687096
2.54,8.8,-30.02808595,0.329674653,0.534565538,1.069131075
2.56,8.7,-29.72721001,-0.267878307,0.535183501,1.070367002
2.58,8.7,-29.06198132,-0.85577022,0.523947016,1.047894032
2.6,8.2,-27.45014561,-1.420891489,0.501180399,1.002360798
2.62,7.6,-25.32098014,-1.948602747,0.467485456,0.934970913
2.64,5,-20.82627199,-2.410075268,0.423898676,0.847797353
2.66,2,-15.64190049,-2.774756993,0.372050354,0.744100707
2.68,-1,-10.2512036,-3.033688034,0.313965903,0.627931807
2.7,-2.6,-6.129477492,-3.197494845,0.251654075,0.503308149
2.72,-3.8,-2.339475469,-3.282184374,0.186857282,0.373714565
2.74,-5,1.458830042,-3.290990829,0.12112553,0.242251061
2.76,-6.3,5.305089984,-3.223351629,0.055982106,0.111964212
2.78,-5.7,7.153990314,-3.098760826,-0.007239019,-0.014478037
2.8,-5,8.777716813,-2.939443754,-0.067621065,-0.135242129
2.82,-4.1,10.05327563,-2.75113383,-0.12452684,-0.249053681
2.84,-1.6,9.574005326,-2.55486102,-0.177586789,-0.355173578
2.86,0.5,9.345228757,-2.36566868,-0.226792086,-0.453584172
2.88,0.8,10.75793463,-2.164637046,-0.272095143,-0.544190286
2.9,0.3,12.78536219,-1.929204078,-0.313033554,-0.626067109
2.92,-1.7,16.08578033,-1.640492652,-0.348730522,-0.697461043
2.94,-4.7,20.1017748,-1.278617101,-0.377921619,-0.755843238
2.96,-7,23.07807895,-0.846818564,-0.399175976,-0.798351952
2.98,-6.2,22.59421262,-0.390095648,-0.411545118,-0.823090236
3,-5.8,22.15684222,0.0574149,-0.414871925,-0.829743851
3.02,-5.5,21.47477122,0.493731035,-0.409360466,-0.818720932
3.04,-5,20.26281643,0.911106911,-0.395312087,-0.790624173
3.06,-3.1,17.3531247,1.287266322,-0.373328354,-0.746656709
3.08,-2.5,15.48331641,1.615630734,-0.344299384,-0.688598767
3.1,-5.2,16.65959447,1.937059842,-0.308772478,-0.617544956
3.12,-8.2,17.86371098,2.282292897,-0.266578951,-0.533157901
3.14,-9.7,17.2903742,2.633833749,-0.217417684,-0.434835368
3.16,-8.8,14.06876037,2.947425095,-0.161605096,-0.323210191
3.18,-6.3,9.063041266,3.178743111,-0.100343414,-0.200686827
3.2,-3.4,3.555817075,3.304931694,-0.035506666,-0.071013331
3.22,-3.3,0.812632985,3.348616195,0.031028813,0.062057627
3.24,-4.3,-0.831185204,3.348430673,0.097999282,0.195998564
3.26,-4.1,-3.640488817,3.303713933,0.164520728,0.329041456
