T,Sx,Sv,Sa
1,26.233081865433867,164.25523123066498,1035.84821740021
1.01,24.14412316197831,153.08912165906227,934.5712587801089
1.02,22.559001447659057,143.25473644672311,856.2085375187542
1.03,24.8676335011945,156.26528656782784,925.5448196274403
1.04,28.782786705317378,178.42398528026877,1050.621823238913
1.05,31.38369435157115,186.76766457729562,1123.9945699168102
1.06,31.6466668781504,190.91795079250747,1111.937138759806
1.07,26.992353248593158,157.24470916654852,930.809408098259
1.08,18.147615979909038,106.44246965411924,614.2893218909493
1.09,18.861238755063003,108.75041874242525,626.5737171246511
1.1,19.538010890958482,109.68880196563529,637.3901744037842
1.11,22.454646445067475,127.15881736957195,719.633027234135
1.12,30.949208191474916,172.70719291931474,974.0357963306336
1.13,34.02935349709901,189.9109383674435,1052.0988551685925
1.14,32.51381597588854,181.76190020659885,987.729168857308
1.15,27.42200372762267,150.32437204257283,818.6392058802548
1.16,23.6755807460794,127.11007947673087,694.6350432951989
1.17,19.10082011704544,105.59626395191847,550.8325097466402
1.18,18.54786066366651,103.23089953955584,525.9526833397797
1.19,18.134082076333538,98.74071416060004,505.63185809582615
1.2,17.439997896982785,92.80097517383356,478.1992732261815
1.21,16.62265117080679,86.76969086233252,448.2999651641444
1.22,16.591397590242046,83.03306900951686,440.0766046698959
1.23,17.94351351934476,86.62392722796797,468.26986254199596
1.24,17.353740691232996,84.62507138114336,445.580562269016
1.25,15.231284638602045,79.57925582235694,384.7369412193012
1.26,14.869497195246144,76.13237227550675,369.7637017723718
1.27,15.253773257472263,75.72528753221081,373.3050006572511
1.28,16.27898430825694,79.47981698692209,392.1947134871474
1.29,17.019401408292566,81.57292039343827,403.63453003556253
1.3,17.50185799942238,83.21333906060804,408.7452395400449
1.31,17.770796106399615,83.36124695572555,408.7631408661712
1.32,19.03333401310034,87.67344917623004,431.21502505371126
1.33,20.47896912199981,91.42675446713774,457.09216472064713
1.34,20.36047140414584,91.58502428622421,447.6709075306137
1.35,19.038940754551433,87.93523384557697,412.36958003359206
1.36,18.064267744431508,80.35671748273712,385.52689147287435
1.37,18.119682915665177,81.78982558268616,381.02978757009373
1.38,17.657805711411775,78.38505136756861,366.04117054733064
1.39,15.708777761290843,71.67401547222971,320.9152930072148
1.4,12.640584283230254,57.130339869834614,254.644138059912
1.41,10.408184487038866,46.17942130121618,206.6697343328155
1.42,8.991234681947928,39.68392508818799,176.02343870177944
1.43,8.346607617129234,38.906221496496826,161.15371577569906
1.44,8.721913770689918,38.90081942153298,166.06854091892401
1.45,9.45590142139351,40.36366647367264,177.65177929093988
1.46,9.605435555164597,41.02525110299747,177.99542718420287
1.47,9.935065410973602,40.751997630703016,181.4616067586609
1.48,11.73669183748079,49.72455490220846,211.51614504257057
1.49,11.70442108481968,49.88016980156927,208.17118591027275
1.5,9.912039298505961,40.89082090259447,173.92224417715812
1.51,8.648427933467044,39.35929363521749,149.73018685144928
1.52,8.686678720164235,39.58318741358931,148.41671740293822
1.53,11.076858690987066,45.01316039775139,186.83801044394454
1.54,13.294297254628201,54.11785273521705,221.29932372614786
1.55,13.830141533235018,57.386787590940926,227.25143567125232
1.56,12.876920897375644,54.09044782918865,208.87160103246137
1.57,11.664416546330301,49.06587339243469,186.80017619033762
1.58,11.726711159207927,49.02240809274155,185.42823547237938
1.59,13.394743178094613,55.305562963561556,209.153992063393
1.6,15.449584630935218,62.12888531447309,238.2472326425831
1.61,16.75349758181868,64.16547930740926,255.1635621896524
1.62,16.782968690262738,63.99651478336488,252.49728434334963
1.63,18.432743552907123,69.87701191023702,273.8892457917164
1.64,20.6779825960884,78.78865204611209,303.557599475739
1.65,22.32134876689073,84.03420932559773,323.6626831632042
1.66,23.513009345376133,89.23528375481722,336.8721245940349
1.67,24.220474850843548,93.50891757033143,342.8449782233651
1.68,24.50147773524993,93.93998981947028,342.68505405961207
1.69,24.257876087673,92.66153017909326,335.3290251560743
1.7,24.640709139776444,90.03482792370747,336.56374359192944
1.71,26.193296315304945,97.22335456745998,353.6213178098942
1.72,26.42500454272127,98.75111687888248,352.6126287409641
1.73,25.256525527244385,93.4384933045083,333.13729307601136
1.74,22.96998325457328,82.5614869564999,299.5153486348148
1.75,20.255938594744865,71.677531152274,261.11081601153376
1.76,18.148582959888614,63.80460719155768,231.31481252428702
1.77,17.466401750510823,61.054708069289454,220.1121416609433
1.78,17.973521700430425,62.60770543153642,223.9778654490551
1.79,18.568797712433863,64.6351497035575,228.81794480132953
1.8,18.18662750336943,63.48218393625674,221.5985417879354
1.81,16.698344895624803,59.841065026907515,201.17031870785317
1.82,17.019652024067764,60.85087374497125,202.7910157798521
1.83,17.269440167413197,61.45146117214779,203.51561235618965
1.84,18.598441911342974,61.397266665605635,216.8387525080162
1.85,21.4663649669435,68.09728426054681,247.610884151522
1.86,24.309656721377863,75.74336714729651,277.4125299679181
1.87,27.018485007637153,83.23739482127596,305.03165496292604
1.88,29.50784751523301,89.59416059805653,329.5873466501217
1.89,31.78202590084517,95.4901422141062,351.2542047486087
1.9,33.757339502007525,101.32678663345582,369.1894704031823
1.91,35.47127669131327,107.12205101868192,383.88014956739033
1.92,36.86517731422012,111.63880529832309,394.77750757404374
1.93,38.08936926913442,126.75442249385404,403.723169873494
1.94,41.736095800875425,138.99897912691722,437.82983099456226
1.95,44.80121806458173,148.6179464600332,465.14647994761447
1.96,48.23594702742594,155.28468164598868,495.7336327090614
1.97,50.75138982820662,159.3097882815969,516.2961985238874
1.98,52.26233382402328,163.22923344448344,526.2965673203566
1.99,53.25119252468533,167.78514266914846,530.856490175581
2,56.1095498425811,175.8880558523883,553.781033990273
2.01,57.43723662835814,179.52462513463496,561.2714536727625
2.02,57.253236994433166,178.0909418778914,553.9327515114886
2.03,55.44289840238158,172.35094246054192,531.1455983705457
2.04,52.09382584351515,160.47130153359637,494.1805582609954
2.05,47.45533567097646,145.71515385148354,445.79692068382354
2.06,41.88242366544575,132.3682690929952,389.64874118102534
2.07,38.59945098475714,118.26167127679786,355.6621411001223
2.08,36.5653116119607,106.17429325735891,333.6938397595195
2.09,34.24291257051048,97.56324917160988,309.4958685756596
2.1,31.73961915624841,89.53080979510666,284.1081534216015
2.11,29.251759796513852,82.08814610223334,259.3530108564245
2.12,26.896811438121965,76.23591971369648,236.226393935697
2.13,24.85619907872721,70.693460088575,216.27121986332799
2.14,23.270412600063825,66.02630654010464,200.58445203989777
2.15,22.269235090434478,62.74221104819886,190.1582505904907
2.16,21.871014647918145,61.08495396185205,185.03202169630725
2.17,21.99398130564353,61.023046257706405,184.36067481785602
2.18,22.4586757713994,62.21304531469339,186.53341129268287
2.19,23.054287091518475,64.35275852559498,189.73731241935604
2.2,23.5856099244676,67.09326694447047,192.35103423450443
2.21,23.899088673894408,69.5117351450374,193.177333278036
2.22,23.86511200594425,71.15659190618935,191.1826882600185
2.23,23.375752284150817,71.22316150087256,185.59065604300275
2.24,22.796948638065253,69.62914573497898,179.3745416819945
