t,ytt,x,xt,xtt,xtt_ytt,f,
0,-1.5,0,0,0,0,0,
0.02,-0.7,0.00029885404814703094,0.029808588610932496,-1.5230358580747794,-2.2230358580747795,0.0005977080962940619,
0.04,0.9,0.0010283365971273997,0.04302702553735987,-0.7568179080993181,0.14318209190068187,0.0020566731942547995,
0.06,1.7,0.001695985698394722,0.023674334534385243,0.8241201544935333,2.5241201544935334,0.003391971396789444,
0.08,0.9,0.001814410294688627,-0.011802857653061567,1.6328195251879438,2.5328195251879437,0.003628820589377254,
0.1,1.7,0.0013862755605844974,-0.030930211925588917,0.8569324496916593,2.5569324496916592,0.002772551121168995,
0.12,2.3,0.0004220132147018504,-0.06532585197586377,1.7079668520742672,4.007966852074267,0.0008440264294037009,
0.14,3,-0.0013377299786918432,-0.1103602120926502,2.39441628252773,5.394416282527731,-0.0026754599573836865,
0.16,3.3,-0.004118037569556891,-0.16723307108141722,3.2256189893869966,6.525618989386997,-0.008236075139113782,
0.18,3,-0.008066447167127337,-0.2270130013205592,3.7040324551135035,6.704032455113504,-0.016132894334254674,
0.2,2.7,-0.013111999879264112,-0.2768155110030598,3.621997995953903,6.321997995953903,-0.026223999758528224,
0.22,2,-0.01904779088474727,-0.31593308340536586,3.5710806094507985,5.5710806094507985,-0.03809558176949454,
0.24,-0.2,-0.025574788314239916,-0.33588243350905667,3.1362768674824335,2.9362768674824333,-0.05114957662847983,
0.26,-2.6,-0.032008569536437236,-0.3066855241345623,1.1792653938275999,-1.4207346061724002,-0.06401713907287447,
0.28,-4,-0.037333366785467,-0.22519575860687763,-1.041240954563613,-5.041240954563613,-0.074666733570934,
0.3,-5.6,-0.040717954675107894,-0.1129586350771977,-2.349935179166626,-7.9499351791666255,-0.08143590935021579,
0.32,-6.1,-0.04152672319711581,0.03200597679421788,-3.9726566488718262,-10.072656648871826,-0.08305344639423162,
0.34,-6,-0.03934871866316013,0.1853150323782095,-4.616436973737687,-10.616436973737688,-0.07869743732632026,
0.36,-6.1,-0.034161151165617604,0.3325737337400196,-4.776749152281515,-10.876749152281516,-0.06832230233123521,
0.38,-5.8,-0.02606808029891861,0.4754883818388372,-5.250128336685631,-11.050128336685631,-0.05213616059783722,
0.4,-5.5,-0.015258380511364213,0.6038972760550306,-5.425287191723459,-10.92528719172346,-0.030516761022728427,
0.42,-5.2,-0.002041683544285435,0.7158919061794966,-5.689282454808903,-10.889282454808903,-0.00408336708857087,
0.44,-4.8,0.013236887612866828,0.8098359870277472,-6.027872351457784,-10.827872351457785,0.026473775225733655,
0.46,-4.6,0.030182484039062457,0.8824018825448976,-6.324214381836983,-10.924214381836983,0.060364968078124914,
0.48,-4.1,0.04839700522680868,0.9365845487629003,-6.863721239687331,-10.963721239687331,0.09679401045361737,
0.5,-3.1,0.06744538086288154,0.9657090732878282,-7.1267006548072995,-10.2267006548073,0.1348907617257631,
0.52,-2.6,0.08672346900493685,0.9595698994439378,-6.885454655079322,-9.485454655079321,0.1734469380098737,
0.54,-4.1,0.1056283068082434,0.9284645599771684,-7.120061299906155,-11.220061299906154,0.2112566136164868,
0.56,-5.4,0.12406516470606155,0.9128140773819459,-9.34201918237086,-14.74201918237086,0.2481303294121231,
0.58,-5.6,0.14230500137916138,0.9087737738094738,-11.360575913024183,-16.960575913024183,0.28461000275832277,
0.6,-3.9,0.16036092890072312,0.8944602865018135,-12.267999302365649,-16.167999302365647,0.32072185780144624,
0.62,-1.3,0.17765169261301497,0.8324181199782691,-11.227221947150197,-12.527221947150197,0.35530338522602994,
0.64,0.4,0.19305551545844157,0.7060953962197922,-9.187717953232559,-8.787717953232558,0.38611103091688315,
0.66,1.6,0.2054891431856701,0.535844803117475,-7.9143949394780595,-6.31439493947806,0.4109782863713402,
0.68,2.4,0.21420260409237207,0.3346073566275515,-6.982523857909694,-4.582523857909694,0.42840520818474415,
0.7,2.5,0.21868907074012225,0.11372647094855286,-6.276372329665492,-3.7763723296654916,0.4373781414802445,
0.72,3.4,0.21873089374133076,-0.10926930388097737,-6.093956009014345,-2.6939560090143453,0.4374617874826615,
0.74,5.2,0.21416161581128176,-0.34675844395472805,-4.924036850209932,0.2759631497900683,0.4283232316225635,
0.76,6.3,0.20455017540135914,-0.6127859745603061,-2.644302375631236,3.6556976243687638,0.4091003508027183,
0.78,5.6,0.18950857088506246,-0.889047219349468,-0.8463355954451419,4.753664404554858,0.3790171417701249,
0.8,3.7,0.16923476981830457,-1.1353545804589957,-0.6531023229615931,3.046897677038407,0.33846953963660914,
0.82,1.5,0.14460426473396454,-1.3242163776105325,-1.509529737298763,-0.009529737298763052,0.2892085294679291,
0.84,-1.2,0.11685267498756427,-1.447135130676623,-2.5676016099110686,-3.7676016099110683,0.23370534997512854,
0.86,-2.6,0.0874146136078088,-1.4927387600812454,-4.088241366044625,-6.688241366044625,0.1748292272156176,
0.88,-2.9,0.057580775211277614,-1.4867256341513968,-4.312715530155012,-7.2127155301550125,0.11516155042255523,
0.9,-2.4,0.028160861572798426,-1.4514375761856262,-3.464567178090766,-5.864567178090766,0.05632172314559685,
0.92,-1.3,-0.00042600893101202026,-1.4035468188708273,-1.8540571565022517,-3.154057156502252,-0.000852017862024039,
0.94,0.3,-0.028055484452724044,-1.355823888149225,0.31871969530573563,0.6187196953057357,-0.05611096890544809,
0.96,1.5,-0.05483804853682002,-1.318953508537138,2.9621531390862135,4.4621531390862135,-0.10967609707364004,
0.98,1.5,-0.08091633432635531,-1.2854844857971734,5.179065071575744,6.679065071575744,-0.16183266865271062,
1,2.1,-0.1061243911986117,-1.2320702414685425,6.154102572063488,8.254102572063488,-0.2122487823972234,
1.02,2.9,-0.13019224630859286,-1.1716232357448606,7.68147542264293,10.58147542264293,-0.2603844926171857,
1.04,1.3,-0.15302895735207075,-1.1091204740829739,9.359469651903465,10.659469651903466,-0.3060579147041415,
1.06,-0.8,-0.17412518865562496,-0.997865655640954,8.550373402748026,7.750373402748026,-0.3482503773112499,
1.08,-1.7,-0.19242619198411676,-0.8300367408145832,7.109598044423543,5.409598044423543,-0.3848523839682335,
