T,Sx,Sv,Sa
1,10.98776085580877,68.87796929088465,434.42418072918264
1.01,11.771460636189996,71.35700649914439,455.6830951950936
1.02,12.328054003568807,74.26044360792828,469.101236190405
1.03,12.63247717075181,76.09409736460125,470.5254535476666
1.04,12.587592139333186,76.3725385310979,460.62975617002326
1.05,12.191746230215687,73.96054519425357,436.37606677682766
1.06,11.406497152287125,68.81791375591015,401.8334236175685
1.07,10.396119753117022,62.258652349374465,359.8375405484235
1.08,9.611148099502318,55.96892388028355,325.60854175847516
1.09,9.99093243004201,53.89445385592848,331.89995809541733
1.1,10.214735944661903,55.20861723435248,333.91635337441323
1.11,10.288311222026417,55.249144641747975,329.6742166073817
1.12,10.166108261832385,54.34941989402587,320.3264867025415
1.13,9.845093977931903,54.34896729796361,304.88136312431703
1.14,9.615522715266927,53.25587170348528,292.87366574102197
1.15,9.68291593035696,54.50352504341449,290.42858553984513
1.16,9.859475355687303,55.31386496615495,288.99059238264397
1.17,10.063770745675862,55.691951872463825,290.2656366514117
1.18,10.260139024360997,55.843224479165606,291.86633088148244
1.19,10.578847395871804,55.54825014217726,295.6630483539889
1.2,10.7865220707676,54.98612123913697,296.3115654292646
1.21,10.89671817221833,54.375713855641045,294.6967818965583
1.22,10.925095646371725,53.60985311039734,290.93560256158344
1.23,10.894129189715901,53.48448421904632,285.48951423947426
1.24,10.83180620783095,54.28653928922465,278.7633181094312
1.25,10.725469572688846,54.768647820573136,271.47228846292705
1.26,10.581256068582444,55.12271045778473,263.68174330505525
1.27,10.400054239504032,55.10219248559083,255.20418211093715
1.28,10.179058583014085,54.88309223024606,245.97116957952505
1.29,9.921040205569284,54.30604143117026,235.94745921200982
1.3,9.620681081563518,53.37845720685999,225.11184864912678
1.31,9.274554023805832,52.02752575556661,213.53840499792605
1.32,9.043837013116143,50.428074404211934,205.39800758079545
1.33,8.83185004550749,48.43142860514412,197.4520722304738
1.34,8.721384453887977,46.16375833571328,191.69956750756867
1.35,8.54392234354091,43.93921337736894,185.14905261721088
1.36,8.318842623611289,42.19611433649003,177.53415569478966
1.37,8.062475322332165,41.01127829743329,170.05967094915167
1.38,7.904964727112348,39.81990175885092,164.18833319368372
1.39,7.7363954561536765,38.6232336789051,158.59018069589257
1.4,7.557254199013883,37.40836403619425,152.91815116980922
1.41,7.376060247382712,36.154917862994964,147.04035315483628
1.42,7.17228890850055,34.85113864464544,140.88489919407328
1.43,6.943249617599421,33.49036162120537,134.4259230716131
1.44,6.689519173902886,32.05476253004071,127.87099443697484
1.45,6.5456815476215615,30.967723303293397,122.84735831920946
1.46,6.6026242589498185,29.92962669502706,122.18030012479741
1.47,6.6598608206589125,28.714728282321815,121.51244911473006
1.48,6.700048343880379,27.34003702834685,120.60310591475006
1.49,6.705631940631922,28.18911895081094,119.08555605120827
1.5,6.685062658523835,28.901477557455955,117.09568026583122
1.51,6.6434081116382355,29.421289915801882,114.8141897033445
1.52,6.687234436252582,29.739599145139067,114.39567637394394
1.53,6.909768494927742,29.89631451413308,116.64173391521555
1.54,7.094568345100546,29.95676488441599,118.17559464015804
1.55,7.2220630492349,29.859125928539026,118.85100761919198
1.56,7.283821263096388,29.960185860475477,118.35889953266626
1.57,7.415980801676976,29.96627488335191,118.66238235770462
1.58,7.783140328361036,29.884277092819808,122.96868450025156
1.59,8.171081874281251,30.72418486708478,127.45941495465961
1.6,8.559873051257588,32.79052154289428,131.88292252598117
1.61,9.072817033136687,35.03907336728805,138.59073657786234
1.62,9.712170728697622,37.33205819086071,146.6838882025461
1.63,10.323326880487844,39.49728590094215,153.85083633915167
1.64,10.86612268222141,41.369358431618714,160.02462443215742
1.65,11.311692183883164,42.900779291300296,164.50103878210314
1.66,11.650887330910429,43.81026347201485,167.23805728584156
