t,acc
7.72,0.5
7.74,-6.8
7.76,-3.4
7.78,0.2
7.8,-0.2
7.82,-3.5
7.84,5.2
7.86,23.4
7.88,30.7
7.9,23.5
7.92,7
7.94,-9.8
7.96,-17.6
7.98,-16.8
8,-13.1
8.02,-6.8
8.04,3.6
8.06,12.4
8.08,12
8.1,-6.3
8.12,-18.7
8.14,-22.5
8.16,-11.6
8.18,-3
8.2,-4.5
8.22,-10.3
8.24,-7.4
8.26,-3.5
8.28,3.1
8.3,6.7
8.32,11.1
8.34,18.1
8.36,19.6
8.38,11.6
8.4,5.7
8.42,5
8.44,7.6
8.46,7.2
8.48,0.9
8.5,-3.6
8.52,-5.7
8.54,-3
8.56,4.1
8.58,12.1
8.6,10.4
8.62,0.3
8.64,-4.4
8.66,1.3
8.68,11.4
8.7,13.2
8.72,11.2
8.74,8.6
8.76,5.3
8.78,-5.7
8.8,-9.7
8.82,6.6
8.84,16.8
8.86,15.4
8.88,4.2
8.9,-2.2
8.92,3
8.94,20.2
8.96,19.3
8.98,4.4
9,1.3
9.02,2.9
9.04,10.5
9.06,17.3
9.08,15.6
9.1,8.3
9.12,4.5
9.14,-3.5
9.16,-14.5
9.18,-25.2
9.2,-26.8
9.22,-11.6
9.24,-0.3
9.26,3.4
9.28,-3.7
9.3,-16.5
9.32,-18.4
9.34,-16.1
9.36,-6.7
9.38,0.3
9.4,-0.6
9.42,1.9
9.44,7.4
9.46,5.8
9.48,-5.2
9.5,-17.8
9.52,-22.9
9.54,-22.5
9.56,-13.7
9.58,-4
9.6,-1.9
9.62,4.6
9.64,11.3
9.66,10.7
9.68,4.7
9.7,-1.9
9.72,4.8
9.74,11.5
9.76,1.6
9.78,-4.1
9.8,-9.6
9.82,-10.2
9.84,-7.4
9.86,-15.5
9.88,-22.3
9.9,-18.8
9.92,-8.3
9.94,1.3
9.96,1.3
9.98,-10.9
10,-20.3
10.02,-19.3
10.04,-16.6
10.06,-17.3
10.08,-4.6
10.1,15.7
10.12,25.3
10.14,19.9
10.16,7.1
10.18,-5.5
10.2,-5.5
10.22,11.2
10.24,17.3
10.26,9.5
10.28,5.7
10.3,1.4
10.32,5.7
10.34,5.7
10.36,-1.5
10.38,2.5
10.4,17.8
10.42,28.4
10.44,22
10.46,5
10.48,-7.8
10.5,-0.2
10.52,10.9
10.54,8.7
10.56,9.1
10.58,20.7
10.6,29
10.62,12.4
10.64,-11.5
10.66,-27.6
10.68,-25.2
10.7,-6.5
10.72,7.8
10.74,20.7
10.76,27.5
10.78,30.4
10.8,26.8
10.82,9.9
10.84,-11.9
10.86,-26.6
10.88,-29.5
10.9,-31.1
10.92,-25.5
10.94,-11.9
10.96,4.3
10.98,19
11,21.5
11.02,15.5
11.04,5
11.06,1
11.08,-3.4
11.1,-8.1
11.12,-9.5
11.14,-9.8
11.16,-8.6
11.18,13.3
11.2,26.2
11.22,19.6
11.24,12.9
11.26,14.4
11.28,18
11.3,13.8
11.32,5.2
11.34,5
11.36,9.7
11.38,8
11.4,7.9
11.42,8.6
11.44,8.5
11.46,2
11.48,-2.9
11.5,-5.9
11.52,-11.4
11.54,-15.4
11.56,-16.1
11.58,-12.9
11.6,-13.9
11.62,-18.3
11.64,-8.5
11.66,-0.3
11.68,-3.4
11.7,-16.2
11.72,-31.6
11.74,-37.3
11.76,-29
11.78,-16.7
11.8,-4.9
11.82,-5.8
11.84,-11.3
11.86,-16.2
11.88,-26.8
11.9,-33.9
11.92,-31.1
11.94,-18
11.96,-4.3
11.98,1.5
12,-10.2
12.02,-17.5
12.04,-16.2
12.06,-3.5
12.08,8.8
12.1,7.1
12.12,2.7
12.14,3.2
12.16,4.4
12.18,4.5
12.2,3.9
12.22,5.3
12.24,2.7
12.26,1.8
12.28,7.8
12.3,19.8
12.32,30.4
12.34,29.5
12.36,18.1
12.38,10.4
12.4,8.6
12.42,12.2
12.44,4.3
12.46,-8.4
12.48,-16.3
12.5,-23.1
12.52,-13
12.54,2.6
12.56,14.2
12.58,18.9
12.6,24.3
12.62,26.9
12.64,18.6
12.66,10.5
12.68,6.9
12.7,10.1
12.72,19.8
12.74,18.8
12.76,10.6
12.78,5
12.8,3.1
12.82,1.6
12.84,2.3
12.86,-0.7
12.88,-2.6
12.9,-0.2
12.92,8.6
12.94,11.3
12.96,11.4
12.98,10
13,0.9
13.02,-4.1
13.04,0.9
13.06,11.8
13.08,20.3
13.1,25.8
13.12,32.3
13.14,30.9
13.16,20.2
13.18,8.1
13.2,13.3
13.22,28.6
13.24,30.6
13.26,18.8
13.28,1.8
13.3,-1.7
13.32,-1.3
13.34,-8
13.36,-11.4
13.38,-6.8
13.4,3.5
13.42,1.2
13.44,-10.3
13.46,-19.2
13.48,-19.6
13.5,-13.7
13.52,-11.3
13.54,-14.7
13.56,-18.9
13.58,-17.1
13.6,-10.7
13.62,-9.1
13.64,-9.1
13.66,-8.6
13.68,-13.5
13.7,-25.7
13.72,-35.4
13.74,-34.5
13.76,-20.5
13.78,-6.5
13.8,-0.4
13.82,1.5
13.84,0.6
13.86,-8.9
13.88,-20.7
13.9,-22.2
13.92,-18.2
13.94,-12.1
13.96,-12
13.98,-21.1
14,-29
14.02,-32.4
14.04,-32.1
14.06,-32.1
14.08,-33.3
14.1,-25.8
14.12,-10.3
14.14,4
14.16,9.8
14.18,3.4
14.2,-1.6
14.22,-0.1
14.24,8.1
14.26,13.6
14.28,6.8
14.3,-3.2
14.32,-10.2
14.34,-10.4
14.36,-0.8
14.38,10.3
14.4,14.7
14.42,16.6
14.44,11.2
14.46,4.9
14.48,4.6
14.5,11.8
14.52,9.4
14.54,1
14.56,-0.3
14.58,-0.5
14.6,1.1
14.62,7.6
14.64,15.3
14.66,22.3
14.68,25.8
14.7,31.7
14.72,36.2
14.74,28
14.76,11.1
14.78,-0.3
14.8,-8
14.82,-4.5
14.84,2.7
14.86,-8.3
14.88,-18.4
