t,acc
92.62,-53.8
92.64,-50.3
92.66,-40.3
92.68,-30.9
92.7,-27.6
92.72,-38
92.74,-56
92.76,-61.9
92.78,-41.9
92.8,-18.1
92.82,-4.9
92.84,10.7
92.86,18.5
92.88,14.8
92.9,8.5
92.92,11.9
92.94,29.2
92.96,49.2
92.98,62.7
93,55.1
93.02,38.2
93.04,19.8
93.06,-0.8
93.08,-9
93.1,-3
93.12,16
93.14,22.4
93.16,12.5
93.18,3.9
93.2,0.6
93.22,3
93.24,13.1
93.26,28.9
93.28,37.3
93.3,36.3
93.32,17.3
93.34,-7.6
93.36,-30
93.38,-40
93.4,-48.3
93.42,-48.3
93.44,-51.5
93.46,-58.6
93.48,-58.9
93.5,-57
93.52,-54.9
93.54,-52.2
93.56,-60.9
93.58,-67.4
93.6,-70.3
93.62,-73.1
93.64,-72.1
93.66,-68.6
93.68,-63.2
93.7,-55.3
93.72,-44.7
93.74,-31.4
93.76,-30.1
93.78,-34.7
93.8,-34.6
93.82,-19.9
93.84,11.6
93.86,47.8
93.88,70
93.9,70.8
93.92,65.4
93.94,62.9
93.96,67.8
93.98,77.5
94,81
94.02,64.1
94.04,40.1
94.06,17.1
94.08,4.2
94.1,2.3
94.12,4.5
94.14,12.6
94.16,23.2
94.18,33.5
94.2,42
94.22,44.1
94.24,45.6
94.26,47.9
94.28,48.5
94.3,46.1
94.32,39.9
94.34,32.5
94.36,31.4
94.38,34.6
94.4,39.2
94.42,43
94.44,39.9
94.46,29.6
94.48,14.4
94.5,-2
94.52,-16.6
94.54,-19.5
94.56,-18.5
94.58,-16.2
94.6,-10.5
94.62,-9.7
94.64,-9.8
94.66,-6.7
94.68,5.1
94.7,21.2
94.72,34
94.74,39.4
94.76,39.9
94.78,38.2
94.8,32.3
94.82,27.6
94.84,27.9
94.86,31.5
94.88,28.6
94.9,13.2
94.92,-0.7
94.94,-1.8
94.96,-6.4
94.98,-13.1
95,-22.2
95.02,-28.8
95.04,-19.1
95.06,-1.5
95.08,20.7
95.1,36.9
95.12,52.6
95.14,62.5
95.16,60.5
95.18,44.2
95.2,20.9
95.22,0.5
95.24,-8.2
95.26,-2
95.28,3.7
95.3,-9
95.32,-21.2
95.34,-34
95.36,-38.9
95.38,-37.7
95.4,-37.2
95.42,-34.7
95.44,-19
95.46,2
95.48,15.6
95.5,18.8
95.52,12.4
95.54,0.4
95.56,0.7
95.58,1.6
95.6,-23.3
95.62,-74.7
95.64,-95.8
95.66,-77.9
95.68,-48.4
95.7,-42.1
95.72,-66.5
95.74,-85.5
95.76,-85.3
95.78,-66.7
95.8,-48.3
95.82,-45.7
95.84,-60.2
95.86,-65.1
95.88,-46.4
95.9,-18.6
95.92,3.9
95.94,15
95.96,19.5
95.98,16.7
96,7.4
96.02,3.8
96.04,12.9
96.06,27.7
96.08,46.3
96.1,53.6
96.12,50.8
96.14,50.1
96.16,61.6
96.18,74.9
96.2,86.8
96.22,103.7
96.24,104.2
96.26,73.8
96.28,38.8
96.3,17.5
96.32,10.1
96.34,14.5
96.36,15.6
96.38,14.8
96.4,10
96.42,-0.6
96.44,-1.7
96.46,12
96.48,34.7
96.5,44.4
96.52,24.9
96.54,-7.3
96.56,-36.5
96.58,-46.8
96.6,-45.1
96.62,-30.5
96.64,2.8
96.66,3.9
96.68,-29.7
96.7,-38.5
96.72,-43
96.74,-35.7
96.76,-19
96.78,-15.4
96.8,-8.3
96.82,7.4
96.84,23.3
96.86,29.1
96.88,23.3
96.9,17.5
96.92,7
96.94,-12.7
96.96,-28.3
96.98,-24.1
97,-20.3
97.02,-20.3
97.04,-14.4
97.06,3
97.08,26.6
97.1,43.1
97.12,51.8
97.14,58.4
97.16,62.7
97.18,48
97.2,28.4
97.22,9.8
97.24,-4.8
97.26,-20.7
97.28,-36.3
97.3,-47.3
97.32,-56.3
97.34,-57.4
97.36,-51.8
97.38,-46.7
97.4,-50.5
97.42,-52.1
97.44,-44.5
97.46,-30.9
97.48,-17.2
97.5,3.7
97.52,23.6
97.54,37.5
97.56,50.1
97.58,61.4
97.6,61.5
97.62,41.4
97.64,19
97.66,13.6
97.68,16
97.7,7.4
97.72,-13.1
97.74,-32.2
97.76,-39.6
97.78,-33.5
97.8,-19.3
97.82,-26.6
97.84,-32.7
97.86,-39.3
97.88,-40
97.9,-35.9
97.92,-24.9
97.94,-9
97.96,3
97.98,8.5
98,11.1
98.02,13.6
98.04,21.6
98.06,28.2
98.08,39.1
98.1,58.8
98.12,77.6
98.14,59.8
98.16,28.7
98.18,1
98.2,-5.6
98.22,-14.1
98.24,-29.6
98.26,-48.3
98.28,-69.6
98.3,-79.5
98.32,-86.8
98.34,-67.5
98.36,-19.5
98.38,20.3
98.4,35.2
98.42,20.2
98.44,-6
98.46,-22.7
98.48,-25
98.5,-16.5
98.52,3.5
98.54,14.8
98.56,8.8
98.58,-4.2
98.6,-18.5
98.62,-25.5
98.64,-11.1
98.66,1.2
98.68,0.5
98.7,-4.7
98.72,-6.6
98.74,8.2
98.76,33.6
98.78,52.9
98.8,63
98.82,52.6
98.84,22.8
98.86,-5.8
98.88,-25.6
98.9,-25.7
98.92,-22.6
98.94,-22.6
98.96,-30
98.98,-39.5
99,-35.8
99.02,-22.9
99.04,-11
99.06,10.8
99.08,1.6
99.1,-23.5
99.12,-13.3
99.14,-17.8
99.16,-20.6
99.18,-19.9
99.2,-24.4
99.22,-33.3
99.24,-39.1
99.26,-40.9
99.28,-36.6
99.3,-23
99.32,-8.7
99.34,-5.4
99.36,-18.9
99.38,-39.6
99.4,-41.7
99.42,-25.2
99.44,4.8
99.46,25.1
99.48,27.9
99.5,17.6
99.52,-1.3
99.54,-4.8
99.56,1.1
99.58,13.6
99.6,20.8
99.62,17
99.64,5.6
99.66,-4.5
99.68,-8.7
99.7,-3.1
99.72,3.7
99.74,6.8
99.76,7.9
99.78,11.8
99.8,25.2
99.82,37.1
99.84,50.1
99.86,68.6
99.88,71.1
99.9,57
99.92,33.5
99.94,12.8
99.96,2.4
99.98,0
100,-1.1
100.02,-4.8
100.04,-4.5
100.06,-4.6
100.08,-7.3
100.1,-9
100.12,-7.1
100.14,-9.3
100.16,-16.8
100.18,-20.2
100.2,-19.4
100.22,-17.5
100.24,-16.9
100.26,-18.7
100.28,-18.4
100.3,-9.7
100.32,5.3
100.34,15.4
100.36,-6.1
100.38,-36.6
100.4,-34.7
100.42,-24.2
100.44,-30.5
100.46,-41.1
100.48,-45
100.5,-35.8
100.52,-15
100.54,0.7
100.56,6.6
100.58,9.8
100.6,22.2
100.62,50.3
100.64,77.8
100.66,94.1
100.68,95.3
100.7,83.8
100.72,63.7
100.74,39.2
100.76,21
100.78,6.5
100.8,-3.9
100.82,-11.6
100.84,-15.6
100.86,-14
100.88,-6.1
100.9,2.5
100.92,12.4
100.94,25.8
100.96,35.6
100.98,38.7
101,34.1
101.02,24.1
101.04,6.4
101.06,-18.6
101.08,-39.6
101.1,-48.5
101.12,-47.5
101.14,-34.1
101.16,-19.6
101.18,-9.4
101.2,-7.6
101.22,-12
101.24,-11.5
101.26,6.9
101.28,28.3
101.3,28.1
101.32,10.7
101.34,-9.8
101.36,-29.4
101.38,-41.2
101.4,-42.5
101.42,-34.6
101.44,-25.4
101.46,-15.6
101.48,-13.7
101.5,-15.9
101.52,-23.9
101.54,-30.3
101.56,-21.5
101.58,-3.9
101.6,9.7
101.62,23.1
101.64,31.8
101.66,33.3
101.68,28.6
101.7,25.1
101.72,25
101.74,27.7
101.76,31.6
101.78,30.7
101.8,24.3
101.82,14.9
101.84,4.4
101.86,-2.7
101.88,-10.2
101.9,-15
101.92,-14.6
101.94,-13.1
101.96,-9.1
101.98,-6.4
102,-9.5
102.02,-13.6
102.04,-21
102.06,-28.9
102.08,-34.5
102.1,-36.6
102.12,-30.2
102.14,-13.8
102.16,-3.5
102.18,-11.9
102.2,-24.1
102.22,-32.2
102.24,-27.6
102.26,-17.4
102.28,-10.5
102.3,-9.2
102.32,-14
102.34,-17.6
102.36,-14.8
102.38,-13
102.4,-21.1
102.42,-24.4
102.44,-24.9
102.46,-36.1
102.48,-42.2
102.5,-45.8
102.52,-42.2
102.54,-22.5
102.56,1
102.58,17.3
102.6,30.6
102.62,35.8
102.64,35.7
102.66,36
102.68,40.8
102.7,53
102.72,73.2
102.74,82.8
102.76,65.4
102.78,38.4
102.8,19.9
102.82,8.4
102.84,5.4
102.86,13.2
102.88,24.1
102.9,31.3
102.92,29.6
102.94,18.9
102.96,3.5
102.98,-13.6
103,-23.3
103.02,-24.1
103.04,-9.2
103.06,0.7
103.08,-0.2
103.1,-12.2
103.12,-25.1
103.14,-29
103.16,-22
103.18,-10.3
103.2,2.2
103.22,10.1
103.24,10.4
103.26,1.6
103.28,-7.2
103.3,-10.4
103.32,-5.7
103.34,6.5
103.36,17.7
103.38,23.8
103.4,25.2
103.42,21.6
103.44,11.9
103.46,1
103.48,-9.5
103.5,-17.9
103.52,-19
103.54,-12
103.56,3.3
103.58,15.8
103.6,28.6
103.62,35.4
103.64,28
103.66,12.9
103.68,2.3
103.7,1.3
103.72,14.5
103.74,30.2
103.76,39.2
103.78,38.7
103.8,24.8
103.82,5
103.84,-11.5
103.86,-20.9
103.88,-20.8
103.9,-11.3
103.92,-4.4
103.94,-1.3
103.96,0.1
103.98,-2.7
104,-10.5
104.02,-16.1
104.04,-16.3
104.06,-4.1
104.08,9.2
104.1,20.7
104.12,22.2
104.14,16.8
104.16,3.8
104.18,-8.1
104.2,-17.8
104.22,-21
104.24,-18.5
104.26,-14.2
104.28,-8.5
104.3,-3.8
104.32,-1.9
104.34,-6.1
104.36,-11.3
104.38,-16.4
104.4,-21.6
104.42,-26.4
104.44,-26
104.46,-25.9
104.48,-28.2
104.5,-22.6
104.52,-10.9
104.54,1
104.56,10.9
104.58,12.9
104.6,3.1
104.62,-7.6
104.64,-12.1
104.66,-11.1
104.68,-1.9
104.7,8.9
104.72,17.3
104.74,23.4
104.76,36
104.78,47.1
104.8,46.3
104.82,30.5
104.84,8.1
104.86,-10.8
104.88,-24
104.9,-35.4
104.92,-35.9
104.94,-32.3
104.96,-37.3
104.98,-34.1
105,-30.4
105.02,-25.9
105.04,-21.6
105.06,-17.4
105.08,-7.7
105.1,8.8
105.12,18.7
105.14,23.5
105.16,15
105.18,-0.2
105.2,-13.8
105.22,-18
105.24,-15.9
105.26,-7.9
105.28,6.4
105.3,16.2
105.32,22.8
105.34,25
105.36,34
105.38,44
105.4,47.2
105.42,45.4
105.44,39.4
105.46,30.9
105.48,19.2
105.5,8.6
105.52,-0.3
105.54,-5.2
105.56,-6.9
105.58,-7.3
105.6,-7.7
105.62,-8.1
105.64,-11.6
105.66,-18.1
105.68,-25.4
105.7,-22.1
105.72,-4.4
105.74,22.5
105.76,36
105.78,43.2
105.8,45.3
105.82,47.3
105.84,43.6
105.86,32.4
105.88,22.3
105.9,10.5
105.92,-4.1
105.94,-17.7
105.96,-28.5
105.98,-32.1
106,-32.3
106.02,-19.9
106.04,0.5
106.06,15.4
106.08,18.7
106.1,8.1
106.12,-10.8
106.14,-27.8
106.16,-32
106.18,-29.1
106.2,-21.4
106.22,-14.5
106.24,-9.5
106.26,-8.1
106.28,-15.9
106.3,-19.8
106.32,-18
106.34,-19
106.36,-19.2
106.38,-17.7
106.4,-14.1
106.42,-13.7
106.44,-6.1
106.46,11.8
106.48,27.2
106.5,40.5
106.52,49.4
106.54,55.3
106.56,57.1
106.58,58.1
106.6,52.5
106.62,31.5
106.64,9.5
106.66,-10.3
106.68,-29.3
106.7,-43.6
106.72,-54.8
106.74,-58.1
106.76,-49.8
106.78,-29.3
106.8,-11.5
106.82,4.6
106.84,15.3
106.86,24.6
106.88,29
106.9,35.4
106.92,41.9
106.94,36.8
106.96,16.3
106.98,-2
107,-11.9
107.02,-18.5
107.04,-17.8
107.06,-8.1
107.08,4
107.1,11.3
107.12,10.2
107.14,0.5
107.16,-10.3
107.18,-14.5
107.2,-11.5
107.22,-1.5
107.24,10.7
107.26,17.9
107.28,17.1
107.3,2.3
107.32,-11.4
107.34,-20.4
107.36,-17.5
107.38,-1.7
107.4,15.9
107.42,25.9
107.44,25.5
107.46,10.4
107.48,-7.8
107.5,-17.5
107.52,-20.2
107.54,-15.9
107.56,-16.1
107.58,-16.2
107.6,-24.6
107.62,-29.6
107.64,-26.7
107.66,-21.5
107.68,-16.4
107.7,-13
107.72,-11.8
107.74,-11
107.76,-11.7
107.78,-19.4
107.8,-19.8
107.82,-16.5
107.84,-9.9
107.86,-5.8
107.88,-4.6
107.9,-6.7
107.92,-13.4
107.94,-16.3
107.96,-15.3
107.98,-12.8
108,-13.6
108.02,-16.5
108.04,-20.3
108.06,-21.4
108.08,-23.2
108.1,-28.5
108.12,-25.7
108.14,-19.8
108.16,-13.8
108.18,-8
108.2,4.8
108.22,18.3
108.24,28.7
108.26,33.7
108.28,27.6
108.3,9.4
108.32,-7.7
108.34,-16.9
108.36,-20.2
108.38,-23.3
108.4,-23.3
108.42,-11.4
108.44,4.5
108.46,25.2
108.48,38.9
108.5,47.3
108.52,52.2
108.54,50.9
108.56,46
108.58,42.9
108.6,42.9
108.62,46.3
108.64,46
108.66,36.5
108.68,25.4
108.7,15.6
108.72,13.2
108.74,10.8
108.76,4.9
108.78,2.6
108.8,2.4
108.82,1.8
108.84,-1.2
108.86,4.9
108.88,16
108.9,16.9
108.92,6.2
108.94,-5.6
108.96,-5.9
108.98,7.6
109,24.7
109.02,32.2
109.04,27.9
109.06,16
109.08,2.6
109.1,-6.3
109.12,-8
109.14,-8.5
109.16,-12.5
109.18,-20.1
109.2,-24.3
109.22,-23.4
109.24,-14.9
109.26,4.9
109.28,15.6
109.3,14.7
109.32,1.4
109.34,-11.2
109.36,-18.4
109.38,-18.7
109.4,-13.7
109.42,-9.4
109.44,-5.2
109.46,-2.3
109.48,-3.4
109.5,-9.4
109.52,-11.6
109.54,-10.4
109.56,-7.5
109.58,-14.1
109.6,-27.4
109.62,-29.7
109.64,-27.1
109.66,-21.9
109.68,-15.9
109.7,-11
109.72,-10.5
109.74,-11.6
109.76,-13
109.78,-13.7
109.8,-9.7
109.82,-9.3
109.84,-12.2
109.86,-12.8
109.88,-12.4
109.9,-11.2
109.92,-10.4
109.94,-7.1
109.96,-3.1
109.98,-0.3
110,-1.5
110.02,-4.7
110.04,-5.2
110.06,2
110.08,11
110.1,21.6
110.12,25.8
110.14,22.5
110.16,15.6
110.18,10.9
110.2,9.5
110.22,10.1
110.24,10.3
110.26,8.1
110.28,6.2
110.3,0.1
110.32,-9.3
110.34,-18.2
110.36,-26.8
110.38,-25.6
110.4,-21
110.42,-22.5
110.44,-18.3
110.46,-9.3
110.48,-3.4
110.5,1.1
110.52,1.7
110.54,1.1
110.56,1.8
110.58,5.2
110.6,4
110.62,-4.4
110.64,-12.1
110.66,-17.2
110.68,-16.1
110.7,-8.1
110.72,3.2
110.74,8.9
110.76,13.6
110.78,16.6
110.8,20.2
110.82,25.6
110.84,30.2
110.86,31
110.88,23.4
110.9,5.2
110.92,-7.5
110.94,-12.4
110.96,-12
110.98,-8.1
111,-0.6
111.02,0
111.04,0
111.06,0
111.08,0
111.1,0
111.12,0
111.14,0
111.16,0
111.18,0
111.2,0
111.22,0
111.24,0
111.26,0
111.28,0
111.3,0
111.32,0
111.34,0
111.36,0
111.38,0
111.4,0
111.42,0
111.44,0
111.46,0
111.48,0
111.5,0
111.52,0
111.54,0
111.56,0
111.58,0
111.6,0
111.62,0
111.64,0
111.66,0
111.68,0
111.7,0
111.72,0
111.74,0
111.76,0
111.78,0
111.8,0
111.82,0
111.84,0
111.86,0
111.88,0
111.9,0
111.92,0
111.94,0
111.96,0
111.98,0
112,0
112.02,0
112.04,0
112.06,0
112.08,0
112.1,0
112.12,0
112.14,0
112.16,0
112.18,0
112.2,0
112.22,0
112.24,0
112.26,0
112.28,0
112.3,0
112.32,0
112.34,0
112.36,0
112.38,0
112.4,0
112.42,0
112.44,0
112.46,0
112.48,0
112.5,0
112.52,0
112.54,0
112.56,0
112.58,0
112.6,0
112.62,0
112.64,0
112.66,0
112.68,0
112.7,0
112.72,0
112.74,0
112.76,0
112.78,0
112.8,0
112.82,0
112.84,0
112.86,0
112.88,0
112.9,0
112.92,0
112.94,0
112.96,0
112.98,0
113,0
113.02,0
113.04,0
113.06,0
113.08,0
113.1,0
113.12,0
113.14,0
113.16,0
113.18,0
113.2,0
113.22,0
113.24,0
113.26,0
113.28,0
113.3,0
113.32,0
113.34,0
113.36,0
113.38,0
113.4,0
113.42,0
113.44,0
113.46,0
113.48,0
113.5,0
113.52,0
113.54,0
113.56,0
113.58,0
113.6,0
113.62,0
113.64,0
113.66,0
113.68,0
113.7,0
113.72,0
113.74,0
113.76,0
113.78,0
113.8,0
113.82,0
113.84,0
113.86,0
113.88,0
113.9,0
113.92,0
113.94,0
113.96,0
113.98,0
114,0
114.02,0
114.04,0
114.06,0
114.08,0
114.1,0
114.12,0
114.14,0
114.16,0
114.18,0
114.2,0
114.22,0
114.24,0
114.26,0
114.28,0
114.3,0
114.32,0
114.34,0
114.36,0
114.38,0
114.4,0
114.42,0
114.44,0
114.46,0
114.48,0
114.5,0
114.52,0
114.54,0
114.56,0
114.58,0
114.6,0
114.62,0
114.64,0
114.66,0
114.68,0
114.7,0
114.72,0
114.74,0
114.76,0
114.78,0
114.8,0
114.82,0
114.84,0
114.86,0
114.88,0
114.9,0
114.92,0
114.94,0
114.96,0
114.98,0
115,0
115.02,0
115.04,0
115.06,0
115.08,0
115.1,0
115.12,0
115.14,0
115.16,0
115.18,0
115.2,0
115.22,0
115.24,0
115.26,0
115.28,0
115.3,0
115.32,0
115.34,0
115.36,0
115.38,0
115.4,0
115.42,0
115.44,0
115.46,0
115.48,0
115.5,0
115.52,0
115.54,0
115.56,0
115.58,0
115.6,0
115.62,0
115.64,0
115.66,0
115.68,0
115.7,0
115.72,0
115.74,0
115.76,0
115.78,0
115.8,0
115.82,0
115.84,0
115.86,0
115.88,0
115.9,0
115.92,0
115.94,0
115.96,0
115.98,0
116,0
116.02,0
116.04,0
116.06,0
116.08,0
116.1,0
116.12,0
116.14,0
116.16,0
116.18,0
116.2,0
116.22,0
116.24,0
116.26,0
116.28,0
116.3,0
116.32,0
116.34,0
116.36,0
116.38,0
116.4,0
116.42,0
116.44,0
116.46,0
116.48,0
116.5,0
116.52,0
116.54,0
116.56,0
116.58,0
116.6,0
116.62,0
116.64,0
116.66,0
116.68,0
116.7,0
116.72,0
116.74,0
116.76,0
116.78,0
116.8,0
116.82,0
116.84,0
116.86,0
116.88,0
116.9,0
116.92,0
116.94,0
116.96,0
116.98,0
117,0
117.02,0
117.04,0
117.06,0
117.08,0
117.1,0
117.12,0
117.14,0
117.16,0
117.18,0
117.2,0
117.22,0
117.24,0
117.26,0
117.28,0
117.3,0
117.32,0
117.34,0
117.36,0
117.38,0
117.4,0
117.42,0
117.44,0
117.46,0
117.48,0
117.5,0
117.52,0
117.54,0
117.56,0
117.58,0
117.6,0
117.62,0
117.64,0
117.66,0
117.68,0
117.7,0
117.72,0
117.74,0
117.76,0
117.78,0
117.8,0
117.82,0
117.84,0
117.86,0
117.88,0
117.9,0
117.92,0
117.94,0
117.96,0
117.98,0
118,0
118.02,0
118.04,0
118.06,0
118.08,0
118.1,0
118.12,0
118.14,0
118.16,0
118.18,0
118.2,0
118.22,0
118.24,0
118.26,0
118.28,0
118.3,0
118.32,0
118.34,0
118.36,0
118.38,0
118.4,0
118.42,0
118.44,0
118.46,0
118.48,0
118.5,0
118.52,0
118.54,0
118.56,0
118.58,0
118.6,0
118.62,0
118.64,0
118.66,0
118.68,0
118.7,0
118.72,0
118.74,0
118.76,0
118.78,0
118.8,0
118.82,0
118.84,0
118.86,0
118.88,0
118.9,0
118.92,0
118.94,0
118.96,0
118.98,0
119,0
119.02,0
119.04,0
119.06,0
119.08,0
119.1,0
119.12,0
119.14,0
119.16,0
119.18,0
119.2,0
119.22,0
119.24,0
119.26,0
119.28,0
119.3,0
119.32,0
119.34,0
119.36,0
119.38,0
119.4,0
119.42,0
119.44,0
119.46,0
119.48,0
119.5,0
119.52,0
119.54,0
119.56,0
119.58,0
119.6,0
119.62,0
119.64,0
119.66,0
119.68,0
119.7,0
119.72,0
119.74,0
119.76,0
119.78,0
119.8,0
119.82,0
119.84,0
119.86,0
119.88,0
119.9,0
119.92,0
119.94,0
119.96,0
119.98,0
120,0
120.02,0
120.04,-1.5
120.06,-0.7
120.08,0.9
120.1,1.7
120.12,0.9
120.14,1.7
120.16,2.3
120.18,3
120.2,3.3
120.22,3
120.24,2.7
120.26,2
120.28,-0.2
120.3,-2.6
120.32,-4
120.34,-5.6
120.36,-6.1
120.38,-6
120.4,-6.1
120.42,-5.8
120.44,-5.5
120.46,-5.2
120.48,-4.8
120.5,-4.6
120.52,-4.1
120.54,-3.1
120.56,-2.6
120.58,-4.1
120.6,-5.4
120.62,-5.6
120.64,-3.9
120.66,-1.3
120.68,0.4
120.7,1.6
120.72,2.4
120.74,2.5
120.76,3.4
120.78,5.2
120.8,6.3
120.82,5.6
120.84,3.7
120.86,1.5
120.88,-1.2
120.9,-2.6
120.92,-2.9
120.94,-2.4
120.96,-1.3
120.98,0.3
121,1.5
121.02,1.5
121.04,2.1
121.06,2.9
121.08,1.3
121.1,-0.8
121.12,-1.7
121.14,-0.9
121.16,-0.5
121.18,0.2
121.2,0.7
121.22,0.3
121.24,-0.3
121.26,-1
121.28,-1.3
121.3,-2.2
121.32,-4.1
121.34,-5.3
121.36,-4.4
121.38,-3.6
121.4,-3.2
121.42,-2.4
121.44,-0.2
121.46,3.3
121.48,3.5
121.5,2.3
121.52,0.6
121.54,-0.2
121.56,0
121.58,0.7
121.6,1.5
121.62,1.7
121.64,1.7
121.66,2.6
121.68,3.7
121.7,4.6
121.72,7.2
121.74,8.8
121.76,8.4
121.78,7.7
121.8,6.6
121.82,4.2
121.84,4.2
121.86,5.5
121.88,7.4
121.9,6.5
121.92,4.3
121.94,2
121.96,1.9
121.98,2.4
122,2.8
122.02,4.8
122.04,5.8
122.06,7.3
122.08,8.5
122.1,6.1
122.12,2.9
122.14,0.2
122.16,-0.6
122.18,-1.3
122.2,-2.3
122.22,-2.2
122.24,-1.7
122.26,-1.3
122.28,-2.6
122.3,-5.2
122.32,-9.2
122.34,-11.1
122.36,-9.8
122.38,-7.7
122.4,-3.5
122.42,-0.3
122.44,0.1
122.46,0.3
122.48,1.4
122.5,2.6
122.52,7.5
122.54,10.1
122.56,10.3
122.58,8.8
122.6,8.7
122.62,8.7
122.64,8.2
122.66,7.6
122.68,5
122.7,2
122.72,-1
122.74,-2.6
122.76,-3.8
122.78,-5
122.8,-6.3
122.82,-5.7
122.84,-5
122.86,-4.1
122.88,-1.6
122.9,0.5
122.92,0.8
122.94,0.3
122.96,-1.7
122.98,-4.7
123,-7
123.02,-6.2
123.04,-5.8
123.06,-5.5
123.08,-5
123.1,-3.1
123.12,-2.5
123.14,-5.2
123.16,-8.2
123.18,-9.7
123.2,-8.8
123.22,-6.3
123.24,-3.4
123.26,-3.3
123.28,-4.3
123.3,-4.1
123.32,-3.2
123.34,-2.8
123.36,-2.8
123.38,-2.8
123.4,-2
123.42,-1.6
123.44,-3.2
123.46,-3.2
123.48,-2.6
123.5,-1.2
123.52,-0.2
123.54,1.1
123.56,4.9
123.58,7.9
123.6,8.4
123.62,6.4
123.64,4.1
123.66,2.9
123.68,3.8
123.7,5.9
123.72,9.2
123.74,12.1
123.76,12.6
123.78,10.6
123.8,5.4
123.82,0.5
123.84,-1
123.86,-2.7
123.88,-2.3
123.9,-0.1
123.92,2.5
123.94,4.5
123.96,5
123.98,4.5
124,4.6
124.02,4.9
124.04,3.7
124.06,0.9
124.08,-0.8
124.1,-1.7
124.12,-3.1
124.14,-3.8
124.16,-1.4
124.18,1.6
124.2,2.6
124.22,0
124.24,-1.5
124.26,-1.4
124.28,-2.9
124.3,-5
124.32,-4.1
124.34,-1.9
124.36,-0.4
124.38,2.4
124.4,7.4
124.42,12.5
124.44,14
124.46,13.5
124.48,11.7
124.5,8.9
124.52,6.1
124.54,6.7
124.56,8
124.58,6.9
124.6,6
124.62,4.2
124.64,-2
124.66,-5.4
124.68,-7.6
124.7,-9.9
124.72,-12.5
124.74,-12.8
124.76,-9.8
124.78,-8
124.8,-6.4
124.82,-1
124.84,3.2
124.86,4.7
124.88,4.7
124.9,4.2
124.92,1
124.94,-7.5
124.96,-14.1
124.98,-14.1
125,-12.3
125.02,-6.6
125.04,-2.5
125.06,-3.4
125.08,-5.7
125.1,-10.3
125.12,-8.8
125.14,-4.3
125.16,0.6
125.18,5.1
125.2,3.8
125.22,0.9
125.24,-0.7
125.26,-0.2
125.28,2.1
125.3,3
125.32,4.1
125.34,8.2
125.36,10.1
125.38,5.4
125.4,1.8
125.42,0.8
125.44,0.9
125.46,0.9
125.48,-1.6
125.5,-3.5
125.52,-5
125.54,-6.9
125.56,-6.4
125.58,-1.7
125.6,-1.6
125.62,-0.7
125.64,-3
125.66,-9.4
125.68,-11.5
125.7,-8.9
125.72,2.5
125.74,12.6
125.76,16.3
125.78,12.8
125.8,2.7
125.82,-7.7
125.84,-15.1
125.86,-10.4
125.88,-2.5
125.9,3.2
125.92,6.4
125.94,3
125.96,-1.2
125.98,-3.8
126,-5.4
126.02,-0.8
126.04,0.7
126.06,-1.8
126.08,-6.3
126.1,-11.5
126.12,-13.2
126.14,-8.6
126.16,1.3
126.18,8.9
126.2,11.1
126.22,6.9
126.24,-2.7
126.26,-9.6
126.28,-10.4
126.3,-5.1
126.32,1.5
126.34,7.2
126.36,10.6
126.38,13.4
126.4,12.8
126.42,7.5
126.44,4
126.46,4.2
126.48,4.6
126.5,6
126.52,4.8
126.54,-0.8
126.56,-1.2
126.58,3.9
126.6,6.7
126.62,3.2
126.64,-3.3
126.66,-2.5
126.68,0.4
126.7,-1.1
126.72,-1.7
126.74,4.1
126.76,14.7
126.78,14.9
126.8,5.4
126.82,-5.4
126.84,-10.4
126.86,-8.3
126.88,-5
126.9,-4.2
126.92,-3.8
126.94,-2.3
126.96,-1.9
126.98,-1.4
127,-1
127.02,2.5
127.04,8.3
127.06,8.3
127.08,7
127.1,0.5
127.12,-5.2
127.14,-3.5
127.16,-0.5
127.18,-1.6
127.2,-4.2
127.22,-3.8
127.24,0.4
127.26,4.9
127.28,2.3
127.3,-3.9
127.32,-1.5
127.34,6
127.36,6.8
127.38,1.4
127.4,-3.8
127.42,-5.5
127.44,4.2
127.46,9.6
127.48,3
127.5,-6.5
127.52,-14
127.54,-20.5
127.56,-28.9
127.58,-32.8
127.6,-29.5
127.62,-15.5
127.64,-9.1
127.66,-10.4
127.68,-9.9
127.7,-0.3
127.72,9.1
127.74,9.4
127.76,0.5
127.78,-6.8
127.8,-3.4
127.82,0.2
127.84,-0.2
127.86,-3.5
127.88,5.2
127.9,23.4
127.92,30.7
127.94,23.5
127.96,7
127.98,-9.8
128,-17.6
128.02,-16.8
128.04,-13.1
128.06,-6.8
128.08,3.6
128.1,12.4
128.12,12
128.14,-6.3
128.16,-18.7
128.18,-22.5
128.2,-11.6
128.22,-3
128.24,-4.5
128.26,-10.3
128.28,-7.4
128.3,-3.5
128.32,3.1
128.34,6.7
128.36,11.1
128.38,18.1
128.4,19.6
128.42,11.6
128.44,5.7
128.46,5
128.48,7.6
128.5,7.2
128.52,0.9
128.54,-3.6
128.56,-5.7
128.58,-3
128.6,4.1
128.62,12.1
128.64,10.4
128.66,0.3
128.68,-4.4
128.7,1.3
128.72,11.4
128.74,13.2
128.76,11.2
128.78,8.6
128.8,5.3
128.82,-5.7
128.84,-9.7
128.86,6.6
128.88,16.8
128.9,15.4
128.92,4.2
