
Å‘å‘Š‘Î•ÏˆÊ
‰ðÍ¹°½,PSV40,,PSV81,
‘w,‰Á—Í•ûŒü,’¼Œð•ûŒü,‰Á—Í•ûŒü,’¼Œð•ûŒü
,mm,mm,mm,mm
F18-F17,-0.593,0.000,1.310,0.000
F17-F16,-0.551,0.000,1.200,0.000
F16-F15,-0.504,0.000,-1.089,0.000
F15-F14,-0.460,0.000,-0.989,0.000
F14-F13,-0.417,0.000,-0.891,0.000
F13-F12,-0.373,0.000,-0.803,0.000
F12-F11,-0.328,0.000,-0.707,0.000
F11-F10,-0.286,0.000,-0.608,0.000
F10-F9,-0.244,0.000,-0.510,0.000
F9-F8,-0.206,0.000,-0.416,0.000
F8-F7,-0.182,0.000,-0.373,0.000
F7-F6,-0.188,0.000,-0.406,0.000
F6-F5,0.202,0.000,-0.431,0.000
F5-F4,0.212,0.000,-0.446,0.000
F4-F3,0.216,0.000,-0.449,0.000
F3-F2,0.214,0.000,-0.439,0.000
F2-F1,0.207,0.000,0.423,0.000
Å‘å“]“|Ó°ÒÝÄ
‰ðÍ¹°½,PSV40,,PSV81,
‘wŠÔ,‰Á—Í•ûŒü,’¼Œð•ûŒü,‰Á—Í•ûŒü,’¼Œð•ûŒü
,kN.m,kN.m,kN.m,kN.m
F19-F18,162.06,0.00,358.12,0.00
F18-F17,-471.25,0.00,1026.64,0.00
F17-F16,-906.18,0.00,1973.18,0.00
F16-F15,-1436.90,0.00,3070.22,0.00
F15-F14,-2029.58,0.00,-4343.97,0.00
F14-F13,-2673.86,0.00,-5753.43,0.00
F13-F12,-3358.82,0.00,-7236.51,0.00
F12-F11,-4043.45,0.00,-8729.06,0.00
F11-F10,-4709.73,0.00,-10170.45,0.00
F10-F9,-5336.71,0.00,-11516.73,0.00
F9-F8,-5911.80,0.00,-12718.73,0.00
F8-F7,-6417.98,0.00,-13750.22,0.00
F7-F6,-6854.86,0.00,-14584.49,0.00
F6-F5,-7215.19,0.00,-15208.19,0.00
F5-F4,-7511.91,0.00,-15656.68,0.00
F4-F3,-7766.69,0.00,-15971.93,0.00
F3-F2,-8008.20,0.00,-16278.99,0.00
F2-F1,-8357.08,0.00,-16918.85,0.00
Å‘å‘wŠÔ•ÏŒ`Šp
‰ðÍ¹°½,PSV40,,PSV81,
‘wŠÔ,‰Á—Í•ûŒü,’¼Œð•ûŒü,‰Á—Í•ûŒü,’¼Œð•ûŒü
,,,,
F19-F18, 1/363, 0, 1/171, 0
F18-F17, 1/277, 0, 1/128, 0
F17-F16, 1/227, 0, 1/105, 0
F16-F15, 1/197, 0, 1/91, 0
F15-F14, 1/180, 0, 1/84, 0
F14-F13, 1/173, 0, 1/81, 0
F13-F12, 1/172, 0, 1/80, 0
F12-F11, 1/184, 0, 1/86, 0
F11-F10, 1/190, 0, 1/90, 0
F10-F9, 1/205, 0, 1/98, 0
F9-F8, 1/227, 0, 1/111, 0
F8-F7, 1/246, 0, 1/127, 0
F7-F6, 1/242, 0, 1/115, 0
F6-F5, 1/219, 0, 1/103, 0
F5-F4, 1/200, 0, 1/93, 0
F4-F3, 1/188, 0, 1/85, 0
F3-F2, 1/185, 0, 1/84, 0
F2-F1, 1/238, 0, 1/109, 0
