t [s],v [É m/sec]
3.78,-19.471
3.79,-22.223
3.8,-23.861
3.81,-24.863
3.82,-25
3.83,-24.546
3.84,-23.479
3.85,-21.025
3.86,-18.217
3.87,-15.003
3.88,-10.881
3.89,-6.177
3.9,-1.265
3.91,3.406
3.92,8.157
3.93,12.085
3.94,15.18
3.95,17.749
3.96,19.905
3.97,21.465
3.98,21.623
3.99,20.39
4,18.272
4.01,15.549
4.02,11.659
4.03,7.506
4.04,2.502
4.05,-2.365
4.06,-7.522
4.07,-12.115
4.08,-15.83
4.09,-18.804
4.1,-20.889
4.11,-21.924
4.12,-22.872
4.13,-22.482
4.14,-21.164
4.15,-18.468
4.16,-14.924
4.17,-11.49
4.18,-7.73
4.19,-3.585
4.2,0.338
4.21,4.158
4.22,7.956
4.23,11.275
4.24,14.081
4.25,16.548
4.26,17.975
4.27,17.779
4.28,16.451
4.29,14.43
4.3,11.513
4.31,8.208
4.32,4.167
4.33,-0.128
4.34,-4.341
4.35,-8.595
4.36,-12.965
4.37,-17.015
4.38,-20.738
4.39,-23.903
4.4,-26.806
4.41,-28.603
4.42,-28.894
4.43,-27.917
4.44,-26.118
4.45,-23.783
4.46,-20.907
4.47,-17.372
4.48,-13.067
4.49,-7.618
4.5,-2.093
4.51,3.407
4.52,8.537
4.53,12.834
4.54,16.831
4.55,20.105
4.56,22.678
4.57,24.58
4.58,25.19
4.59,24.876
4.6,23.57
4.61,21.826
4.62,19.556
4.63,16.403
4.64,12.886
4.65,9.086
4.66,5.337
4.67,1.532
4.68,-2.023
4.69,-6.313
4.7,-10.768
4.71,-14.452
4.72,-17.717
4.73,-20.457
4.74,-22.027
4.75,-22.719
4.76,-22.783
4.77,-22.274
4.78,-20.357
4.79,-18.017
4.8,-14.807
4.81,-11.478
4.82,-7.346
4.83,-2.944
4.84,1.58
4.85,5.894
4.86,10.288
4.87,14.351
4.88,18.048
4.89,21.482
4.9,24.471
4.91,27.627
4.92,30.059
4.93,31.436
