t [s],v [É m/sec]
56.86,2.592
56.87,1.313
56.88,0.229
56.89,-0.746
56.9,-1.108
56.91,-1
56.92,-0.72
56.93,-0.126
56.94,0.609
56.95,0.569
56.96,-0.06
56.97,-0.971
56.98,-2.352
56.99,-4.377
57,-6.538
57.01,-8.575
57.02,-9.898
57.03,-10.222
57.04,-9.839
57.05,-8.802
57.06,-7.758
57.07,-6.288
57.08,-4.422
57.09,-3.033
57.1,-1.605
57.11,-0.603
57.12,0.436
57.13,1.628
57.14,3.634
57.15,5.713
57.16,8.425
57.17,10.704
57.18,12.709
57.19,13.828
57.2,14.453
57.21,14.155
57.22,13.516
57.23,11.865
57.24,9.547
57.25,7.257
57.26,5.13
57.27,3.259
57.28,2.145
57.29,0.777
57.3,-0.01
57.31,-0.523
57.32,-0.916
57.33,-2.059
57.34,-3.841
57.35,-5.677
57.36,-7.621
57.37,-9.096
57.38,-10.353
57.39,-11.397
57.4,-12.299
57.41,-13.176
57.42,-13.675
57.43,-13.776
57.44,-13.576
57.45,-13.276
57.46,-12.293
57.47,-10.44
57.48,-8.84
57.49,-7.509
57.5,-5.862
57.51,-4.505
57.52,-2.785
57.53,-1.028
57.54,0.981
57.55,2.666
57.56,3.887
57.57,4.278
57.58,4.704
57.59,5.106
57.6,5.296
57.61,5.181
57.62,4.896
57.63,4.497
57.64,3.698
57.65,2.661
57.66,1.563
57.67,0.298
57.68,-0.588
57.69,-1.307
57.7,-1.692
57.71,-2.27
57.72,-3.047
57.73,-3.404
57.74,-4.601
57.75,-6.193
57.76,-7.431
57.77,-8.82
57.78,-9.853
57.79,-11.09
57.8,-12.572
57.81,-13.922
57.82,-14.965
57.83,-15.758
57.84,-15.666
57.85,-15.262
57.86,-14.452
57.87,-12.91
57.88,-10.738
57.89,-9.041
57.9,-7.495
57.91,-5.855
57.92,-3.877
57.93,-1.338
57.94,1.294
57.95,4.466
57.96,7.455
57.97,10.357
57.98,13.719
57.99,16.73
58,18.791
58.01,19.928
58.02,20.108
58.03,19.844
58.04,18.867
58.05,17.274
58.06,15.317
58.07,12.753
58.08,9.318
58.09,5.313
58.1,0.989
58.11,-3.63
58.12,-8.902
58.13,-14.156
58.14,-19.786
58.15,-24.805
58.16,-29.042
58.17,-33.408
58.18,-37.815
58.19,-41.274
58.2,-43.129
58.21,-42.892
58.22,-40.93
58.23,-37.117
58.24,-31.933
58.25,-26.339
58.26,-20.037
58.27,-12.95
58.28,-5.217
58.29,3.345
58.3,11.309
58.31,18.325
58.32,24.644
58.33,31.082
58.34,37.328
58.35,42.39
58.36,45.691
58.37,47.013
58.38,46.133
58.39,44.296
58.4,41.365
58.41,36.912
58.42,30.689
58.43,23.102
58.44,14.464
58.45,5.546
58.46,-2.873
58.47,-10.235
58.48,-16.519
58.49,-22.24
58.5,-27.343
58.51,-31.473
58.52,-34.755
58.53,-37.042
58.54,-38.817
58.55,-39.413
58.56,-39.484
58.57,-38.628
58.58,-35.595
58.59,-31.521
58.6,-26.525
58.61,-20.509
58.62,-14.453
58.63,-7.796
58.64,-1.096
58.65,5.584
58.66,12.089
58.67,17.745
58.68,22.043
58.69,25.656
58.7,28.522
58.71,30.801
58.72,32.846
58.73,33.714
58.74,33.826
58.75,32.765
58.76,30.482
58.77,26.965
58.78,22.481
58.79,17.416
58.8,11.101
58.81,3.82
58.82,-4.376
58.83,-11.61
58.84,-17.554
58.85,-22.649
58.86,-27.538
58.87,-32.073
58.88,-35.11
58.89,-36.659
58.9,-36.579
58.91,-35.275
58.92,-33.259
58.93,-30.484
58.94,-26.711
58.95,-21.438
58.96,-14.932
58.97,-7.636
58.98,-0.29
58.99,6.401
59,12.885
59.01,18.393
59.02,23.137
59.03,27.922
59.04,31.986
59.05,34.531
59.06,35.05
59.07,34.601
59.08,32.859
59.09,29.903
59.1,25.528
59.11,19.589
59.12,12.245
59.13,4.34
59.14,-3.695
59.15,-11.185
59.16,-17.074
59.17,-22.591
59.18,-27.332
59.19,-31.058
59.2,-33.191
59.21,-34.111
59.22,-33.71
59.23,-31.813
59.24,-28.681
59.25,-24.529
59.26,-18.931
59.27,-12.66
59.28,-5.961
59.29,0.099
59.3,5.179
59.31,9.753
59.32,13.71
59.33,16.96
59.34,18.94
59.35,19.71
59.36,19.365
59.37,17.265
59.38,14.605
59.39,11.233
59.4,7.574
59.41,3.627
59.42,-0.419
59.43,-5.085
59.44,-9.674
59.45,-13.49
59.46,-16.203
59.47,-17.909
59.48,-17.977
59.49,-17.242
59.5,-15.091
59.51,-11.827
59.52,-7.445
59.53,-2.57
59.54,3.033
59.55,8.762
59.56,14.631
59.57,19.252
59.58,22.549
59.59,25.1
59.6,26.641
59.61,27.461
59.62,27.248
59.63,25.938
59.64,23.554
59.65,20.164
59.66,16.195
59.67,11.721
59.68,6.666
59.69,1.366
59.7,-3.863
59.71,-8.744
59.72,-12.407
59.73,-15.674
59.74,-18.561
59.75,-20.524
59.76,-21.202
59.77,-21.325
59.78,-20.02
59.79,-17.059
59.8,-13.098
59.81,-8.463
59.82,-3.847
59.83,0.53
59.84,4.875
59.85,9.353
59.86,13.378
59.87,16.722
59.88,19.498
59.89,21.02
59.9,21.872
59.91,22.142
59.92,21.625
59.93,20.424
59.94,18.176
59.95,15.764
59.96,13.436
59.97,11.27
59.98,8.423
59.99,5.467
60,3.234
60.01,0.972
60.02,-0.863
60.03,-1.972
60.04,-2.897
60.05,-2.932
60.06,-1.555
60.07,-0.133
60.08,1.495
60.09,2.783
60.1,3.925
60.11,5.047
60.12,6.164
60.13,7.011
60.14,7.296
60.15,7.392
60.16,7.667
60.17,8.357
60.18,8.38
60.19,8.203
60.2,8.229
60.21,7.837
60.22,6.254
60.23,4.103
60.24,1.338
60.25,-1.489
60.26,-4.307
60.27,-6.494
60.28,-8.189
60.29,-10
60.3,-11.242
60.31,-11.984
60.32,-12.747
60.33,-13.096
60.34,-12.617
60.35,-11.786
60.36,-10.499
60.37,-8.423
60.38,-6.143
60.39,-3.816
60.4,-1.122
60.41,2.189
60.42,5.95
60.43,9.418
60.44,12.511
60.45,14.757
60.46,15.887
60.47,16.531
60.48,17.072
60.49,17.622
60.5,17.35
60.51,17.167
60.52,16.988
60.53,15.771
60.54,13.694
60.55,11.65
60.56,9.499
60.57,6.864
60.58,3.954
60.59,0.996
60.6,-2.549
60.61,-6.063
60.62,-8.613
60.63,-11.161
60.64,-13.597
60.65,-15.044
60.66,-16.237
60.67,-16.729
60.68,-17.304
60.69,-17.62
60.7,-17.828
60.71,-17.781
60.72,-16.991
60.73,-14.826
60.74,-12.092
60.75,-9.479
60.76,-6.18
60.77,-3.723
60.78,-1.227
60.79,2.052
60.8,5.318
60.81,8.859
60.82,12.521
60.83,16.053
60.84,19.47
60.85,22.315
60.86,24.755
60.87,26.719
60.88,27.975
60.89,27.833
60.9,26.709
60.91,24.489
60.92,21.234
60.93,16.243
60.94,10.638
60.95,4.003
60.96,-2.35
60.97,-7.606
60.98,-12.451
60.99,-16.429
61,-20.355
61.01,-24.087
61.02,-26.889
61.03,-29.239
61.04,-30.763
61.05,-31.436
61.06,-31.698
61.07,-30.641
61.08,-27.918
61.09,-23.598
61.1,-17.638
61.11,-11.292
61.12,-4.23
61.13,2.658
61.14,9.533
61.15,16.819
61.16,23.345
61.17,28.331
61.18,31.741
61.19,33.605
61.2,34.276
61.21,34.141
61.22,33.309
61.23,31.142
61.24,28.06
61.25,23.621
61.26,18.962
61.27,13.712
61.28,7.686
61.29,0.999
61.3,-5.77
61.31,-12.862
61.32,-19.561
61.33,-24.999
61.34,-29.471
61.35,-32.472
61.36,-33.595
61.37,-33.581
61.38,-32.469
61.39,-30.477
61.4,-27.179
61.41,-22.695
61.42,-17.181
61.43,-11.46
61.44,-6.076
61.45,-0.994
61.46,4.071
61.47,9.208
61.48,13.704
61.49,17.736
61.5,21.231
61.51,24.057
61.52,25.776
61.53,26.299
61.54,25.84
61.55,24.032
61.56,20.871
61.57,16.956
61.58,12.729
61.59,8.284
61.6,4.545
61.61,0.821
61.62,-3.618
61.63,-8.302
61.64,-12.45
61.65,-16.3
61.66,-19.739
61.67,-22.282
61.68,-24.27
61.69,-25.737
61.7,-26.652
61.71,-26.946
61.72,-27.012
61.73,-25.728
61.74,-23.167
61.75,-19.672
61.76,-15.28
61.77,-9.649
61.78,-3.664
61.79,2.608
61.8,8.489
61.81,13.974
61.82,18.545
61.83,22.008
61.84,24.858
61.85,27.132
61.86,28.396
61.87,27.802
61.88,26.924
61.89,25.333
61.9,22.14
61.91,17.706
61.92,11.778
61.93,4.986
61.94,-2.674
61.95,-10.371
61.96,-17.752
61.97,-24.583
61.98,-29.678
61.99,-33.603
62,-36.394
62.01,-37.692
62.02,-37.857
62.03,-36.731
62.04,-34.625
62.05,-30.554
62.06,-25.139
62.07,-18.894
62.08,-12.789
62.09,-6.634
62.1,-0.315
62.11,6.219
62.12,12.419
62.13,18.119
62.14,22.945
62.15,26.674
62.16,28.673
62.17,29.469
62.18,29.126
62.19,27.736
62.2,25.759
62.21,22.542
62.22,17.441
62.23,11.647
62.24,5.91
62.25,-0.21
62.26,-6.331
62.27,-11.607
62.28,-16.702
62.29,-21.469
62.3,-25.159
62.31,-27.742
62.32,-29.571
62.33,-29.663
62.34,-29.073
62.35,-27.104
62.36,-24.093
62.37,-20.637
62.38,-16.986
62.39,-12.541
62.4,-7.755
62.41,-2.721
62.42,2.422
62.43,7.113
62.44,11.278
62.45,15.593
62.46,19.518
62.47,22.268
62.48,24.1
62.49,24.487
62.5,23.055
62.51,21.036
62.52,18.176
62.53,14.779
62.54,11.047
62.55,7.007
62.56,2.546
62.57,-2.172
62.58,-6.343
62.59,-10.117
62.6,-13.535
62.61,-16.358
62.62,-18.756
62.63,-20.822
62.64,-21.942
62.65,-22.289
62.66,-21.679
62.67,-20.401
62.68,-17.955
62.69,-15.512
62.7,-12.614
62.71,-8.173
62.72,-2.785
62.73,2.608
62.74,7.302
62.75,10.923
62.76,14.688
62.77,17.989
62.78,20.193
62.79,21.677
62.8,22.231
62.81,21.555
62.82,20.159
62.83,18.129
62.84,15.307
62.85,11.972
62.86,8.326
62.87,4.527
62.88,0.269
62.89,-4.664
62.9,-9.338
62.91,-13.539
62.92,-17.014
62.93,-20.491
62.94,-23.524
62.95,-24.947
62.96,-24.565
62.97,-22.624
62.98,-19.301
62.99,-15.387
63,-10.689
63.01,-6.141
63.02,-1.508
63.03,3.193
63.04,8.327
63.05,13.215
63.06,17.486
63.07,20.412
63.08,22.471
63.09,24.243
63.1,25.317
63.11,25.516
63.12,24.747
63.13,22.974
63.14,20.076
63.15,16.198
63.16,11.57
63.17,6.877
63.18,2.55
63.19,-2.177
63.2,-6.966
63.21,-10.852
63.22,-14.191
63.23,-16.177
63.24,-16.753
63.25,-16.541
63.26,-15.935
63.27,-14.78
63.28,-12.921
63.29,-10.755
63.3,-7.756
63.31,-4.72
63.32,-1.605
63.33,1.452
63.34,4.795
63.35,7.243
63.36,9.075
63.37,10.067
63.38,10.495
63.39,10.868
63.4,10.431
63.41,8.57
63.42,6.815
63.43,4.739
63.44,3.038
63.45,1.934
63.46,0.796
63.47,-0.233
63.48,-1.026
63.49,-1.653
63.5,-2.451
63.51,-2.591
63.52,-2.814
63.53,-2.946
63.54,-2.503
63.55,-2.239
63.56,-1.253
63.57,-0.082
63.58,1.384
63.59,2.741
63.6,3.497
63.61,4.128
63.62,4.663
63.63,5.039
63.64,4.808
63.65,3.511
63.66,1.791
63.67,-0.726
63.68,-3.697
63.69,-6.313
63.7,-8.588
63.71,-9.847
63.72,-10.151
63.73,-10.117
63.74,-9.612
63.75,-8.772
63.76,-7.788
63.77,-6.309
63.78,-3.949
63.79,-1.642
63.8,0.317
63.81,2.5
63.82,4.573
63.83,6.729
63.84,8.489
63.85,10.328
63.86,11.498
63.87,12.382
63.88,12.782
63.89,13.369
63.9,13.473
63.91,13.077
63.92,11.725
63.93,9.799
63.94,6.982
63.95,3.857
63.96,1.133
63.97,-1.872
63.98,-4.85
63.99,-7.356
64,-9.919
64.01,-12.005
64.02,-13.522
64.03,-14.44
64.04,-14.669
64.05,-13.985
64.06,-12.812
64.07,-11.593
64.08,-9.91
64.09,-7.578
64.1,-4.372
64.11,-0.822
64.12,2.488
64.13,5.883
64.14,9.777
64.15,13.652
64.16,16.416
64.17,18.233
64.18,18.942
64.19,18.231
64.2,16.491
64.21,14.496
64.22,12.476
64.23,10.904
64.24,9.265
64.25,7.163
64.26,4.849
64.27,2.733
64.28,0.225
64.29,-2.381
64.3,-4.827
64.31,-6.944
64.32,-9.116
64.33,-11.171
64.34,-12.465
64.35,-12.635
64.36,-12.662
64.37,-12.262
64.38,-10.978
64.39,-9.091
64.4,-7.464
64.41,-5.683
64.42,-3.344
64.43,-0.365
64.44,2.309
64.45,4.701
64.46,7.206
64.47,9.784
64.48,11.988
64.49,13.918
64.5,15.579
64.51,15.667
64.52,14.852
64.53,13.636
64.54,12.092
64.55,10.356
64.56,8.512
64.57,6.08
64.58,3.581
64.59,0.812
64.6,-1.511
64.61,-3.388
64.62,-4.349
64.63,-5.27
64.64,-6.488
64.65,-7.879
64.66,-8.741
64.67,-8.803
64.68,-8.009
64.69,-7.324
64.7,-6.507
64.71,-5.994
64.72,-5.633
64.73,-4.664
64.74,-3.556
64.75,-2.574
64.76,-1.183
64.77,0.67
64.78,2.823
64.79,6.056
64.8,9.446
64.81,12.531
64.82,14.761
64.83,15.401
64.84,15.451
64.85,14.801
64.86,13.275
64.87,11.179
64.88,9.261
64.89,7.524
64.9,5.116
64.91,2.208
64.92,-0.316
64.93,-3.449
64.94,-5.9
64.95,-8.054
64.96,-9.964
64.97,-12.52
64.98,-14.641
64.99,-16.445
65,-17.685
65.01,-18.082
65.02,-17.302
65.03,-15.921
65.04,-14.174
65.05,-12.569
65.06,-9.989
65.07,-6.561
65.08,-3.076
65.09,-0.154
65.1,2.403
65.11,4.833
65.12,7.86
65.13,11.031
65.14,14.106
65.15,16.062
65.16,16.912
65.17,17.348
65.18,17.057
65.19,15.347
65.2,13.235
65.21,10.978
65.22,7.848
65.23,4.17
65.24,0.269
65.25,-3.713
65.26,-7.655
65.27,-10.873
65.28,-13.885
65.29,-16.885
65.3,-19.456
65.31,-21.184
65.32,-21.949
65.33,-22.18
65.34,-21.557
65.35,-20.509
65.36,-18.169
65.37,-15.17
65.38,-11.657
65.39,-7.72
65.4,-2.69
65.41,2.251
65.42,7.03
65.43,11.831
65.44,16.325
65.45,19.553
65.46,22.221
65.47,23.781
65.48,23.788
65.49,22.874
65.5,21.451
65.51,19.139
65.52,15.229
65.53,10.701
65.54,5.808
65.55,0.723
65.56,-4.909
65.57,-10.401
65.58,-15.956
65.59,-20.33
65.6,-23.515
65.61,-25.914
65.62,-27.527
65.63,-28.064
65.64,-27.52
65.65,-25.744
65.66,-23.485
65.67,-20.472
65.68,-16.383
65.69,-11.543
65.7,-6.847
65.71,-2.13
65.72,2.845
65.73,7.492
65.74,11.327
65.75,14.518
65.76,17.509
65.77,20.304
65.78,22.147
65.79,23.061
65.8,21.968
65.81,19.826
65.82,16.354
65.83,12.097
65.84,7.143
65.85,2.265
65.86,-2.508
65.87,-7.215
65.88,-10.962
65.89,-13.896
65.9,-16.594
65.91,-18.183
65.92,-18.756
65.93,-18.625
65.94,-17.552
65.95,-15.921
65.96,-13.326
65.97,-10.372
65.98,-7.337
65.99,-4.157
66,-0.596
66.01,3.449
66.02,7.067
66.03,9.865
66.04,11.742
66.05,12.335
66.06,12.281
66.07,12.31
66.08,11.749
66.09,10.981
66.1,9.525
66.11,7.831
66.12,5.571
66.13,3.008
66.14,0.278
66.15,-2.554
66.16,-5.461
66.17,-8.04
66.18,-10.774
66.19,-12.555
66.2,-13.44
66.21,-13.8
66.22,-13.975
66.23,-13.567
66.24,-12.168
66.25,-9.738
66.26,-6.826
66.27,-3.823
66.28,-1.041
66.29,1.884
66.3,4.822
66.31,7.399
66.32,9.892
66.33,11.698
66.34,12.06
66.35,11.359
66.36,10.197
66.37,8.74
66.38,7.22
66.39,5.084
66.4,2.7
66.41,-0.254
66.42,-3.185
66.43,-5.213
66.44,-6.565
66.45,-7.408
66.46,-7.94
66.47,-8.694
66.48,-8.71
66.49,-8.399
66.5,-7.112
66.51,-4.612
66.52,-1.406
66.53,2.314
66.54,6.144
66.55,10.046
66.56,13.731
66.57,17.226
66.58,20.501
66.59,22.605
66.6,23.375
66.61,23.16
66.62,22.099
66.63,20.186
66.64,17.537
66.65,14.301
66.66,11.069
66.67,7.098
66.68,2.448
66.69,-2.513
66.7,-6.714
66.71,-10.413
66.72,-13.746
66.73,-17.005
66.74,-20.204
66.75,-22.843
66.76,-24.398
66.77,-24.916
66.78,-24.744
66.79,-23.776
66.8,-21.512
66.81,-18.409
66.82,-14.11
66.83,-9.666
66.84,-5.326
66.85,-0.718
66.86,3.784
66.87,8.018
66.88,11.782
66.89,15.327
66.9,18.775
66.91,21.489
66.92,23.68
66.93,25.429
66.94,27.158
66.95,28.284
66.96,29.089
66.97,29.262
66.98,28.552
66.99,27.022
67,24.769
67.01,21.26
67.02,16.915
67.03,12.32
67.04,7.635
67.05,3.054
67.06,-2.019
67.07,-7.303
67.08,-12.045
67.09,-16.526
67.1,-20.533
67.11,-24.53
67.12,-27.899
67.13,-30.749
67.14,-32.77
67.15,-33.363
67.16,-33.041
67.17,-31.801
67.18,-29.237
67.19,-25.522
67.2,-20.937
67.21,-16.031
67.22,-10.659
67.23,-4.926
67.24,1.503
67.25,8.044
67.26,14.122
67.27,20.017
67.28,25.251
67.29,29.725
67.3,32.767
67.31,34.465
67.32,34.938
67.33,34.969
67.34,33.955
67.35,31.78
67.36,28.528
67.37,24.501
67.38,19.869
67.39,14.402
67.4,8.162
67.41,2.025
67.42,-3.759
67.43,-9.009
67.44,-13.806
67.45,-17.465
67.46,-20.404
67.47,-23.209
67.48,-25.221
67.49,-26.533
67.5,-27.699
67.51,-27.222
67.52,-25.41
67.53,-22.812
67.54,-19.625
67.55,-16.004
67.56,-11.76
67.57,-6.707
67.58,-0.947
67.59,4.712
67.6,9.675
67.61,14.479
67.62,18.746
67.63,22.267
67.64,24.443
67.65,25.078
67.66,24.722
67.67,23.532
67.68,21.226
67.69,17.706
67.7,13.432
67.71,8.504
67.72,2.678
67.73,-2.989
67.74,-8.466
67.75,-13.932
67.76,-18.672
67.77,-22.78
67.78,-26.141
67.79,-28.443
67.8,-29.827
67.81,-29.993
67.82,-28.396
67.83,-26.186
67.84,-23.428
67.85,-19.981
67.86,-15.623
67.87,-10.61
67.88,-5.054
67.89,0.608
67.9,6.135
67.91,11.53
67.92,16.787
67.93,21.232
67.94,24.825
67.95,27.327
67.96,28.692
67.97,28.896
67.98,28.374
67.99,26.612
68,24.267
68.01,20.66
68.02,15.295
68.03,8.887
68.04,2.313
68.05,-3.414
68.06,-9.305
68.07,-16.027
68.08,-22.372
68.09,-28.077
68.1,-32.455
68.11,-35.568
68.12,-36.987
68.13,-36.355
68.14,-34.283
68.15,-31.541
68.16,-28.146
68.17,-23.284
68.18,-17.412
68.19,-11.452
68.2,-5.388
68.21,0.716
68.22,6.869
68.23,12.937
68.24,17.994
68.25,21.301
68.26,23.586
68.27,24.757
68.28,25.652
68.29,25.546
68.3,24.366
68.31,21.99
68.32,18.642
68.33,14.968
68.34,10.371
68.35,4.769
68.36,-0.767
68.37,-6.798
68.38,-12.526
68.39,-17.079
68.4,-21.121
68.41,-24.532
68.42,-26.383
68.43,-27.863
68.44,-28.189
68.45,-28.094
68.46,-26.421
68.47,-23.604
68.48,-20.124
68.49,-15.828
68.5,-11.302
68.51,-6.925
68.52,-2.366
68.53,2.604
68.54,7.328
68.55,11.751
68.56,15.658
68.57,18.952
68.58,21.895
68.59,23.936
68.6,25.342
68.61,25.76
68.62,25.636
68.63,24.37
68.64,21.673
68.65,17.311
68.66,12.59
68.67,7.056
68.68,1.321
68.69,-4.714
68.7,-10.489
68.71,-15.584
68.72,-19.591
68.73,-23.026
68.74,-25.517
68.75,-27.212
68.76,-28.791
68.77,-29.299
68.78,-28.479
68.79,-26.887
68.8,-24.28
68.81,-20.297
68.82,-15.578
68.83,-10.168
68.84,-3.822
68.85,2.657
68.86,9.513
68.87,15.265
68.88,20.437
68.89,24.44
68.9,27.444
68.91,29.642
68.92,30.706
68.93,30.951
68.94,29.791
68.95,26.903
68.96,23.015
68.97,18.182
68.98,12.539
68.99,6.419
69,0.205
69.01,-5.415
69.02,-10.537
69.03,-15.465
69.04,-19.672
69.05,-23.065
69.06,-25.408
69.07,-26.429
69.08,-25.713
69.09,-23.864
69.1,-20.955
69.11,-16.957
69.12,-12.026
69.13,-6.248
69.14,-0.281
69.15,5.232
69.16,10.05
69.17,14.512
69.18,17.985
69.19,20.821
69.2,23.544
69.21,25.816
69.22,26.792
69.23,26.528
69.24,24.603
69.25,21.651
69.26,18.186
69.27,13.635
69.28,8.406
69.29,3.019
69.3,-3.017
69.31,-8.757
69.32,-14.032
69.33,-18.045
69.34,-20.672
69.35,-23.167
69.36,-24.953
69.37,-25.459
69.38,-24.727
69.39,-22.847
69.4,-20.284
69.41,-17.469
69.42,-13.636
69.43,-9.017
69.44,-3.744
69.45,1.311
69.46,6.057
69.47,10.896
69.48,15.392
69.49,19.64
69.5,22.958
69.51,25.192
69.52,26.926
69.53,27.623
69.54,27.505
69.55,26.249
69.56,24.151
69.57,20.959
69.58,17.254
69.59,13.63
69.6,9.793
69.61,6.27
69.62,2.93
69.63,-0.554
69.64,-4.663
69.65,-8.418
69.66,-11.292
69.67,-13.709
69.68,-15.698
69.69,-17.326
69.7,-18.541
69.71,-19.473
69.72,-20.362
69.73,-20.183
69.74,-19.287
69.75,-18.212
69.76,-17.634
69.77,-17.014
69.78,-15.859
69.79,-13.718
69.8,-10.636
69.81,-7.371
69.82,-4.386
69.83,-1.168
69.84,2.08
69.85,6.017
69.86,10.811
69.87,15.774
69.88,20.329
69.89,23.989
69.9,27.094
69.91,29.555
69.92,30.872
69.93,31.36
69.94,30.819
69.95,29.383
69.96,26.328
69.97,22.007
69.98,16.805
69.99,10.606
70,4.173
70.01,-2.406
70.02,-8.935
70.03,-15.115
70.04,-20.895
70.05,-26.35
70.06,-31.324
70.07,-35.28
70.08,-37.394
70.09,-38.515
70.1,-38.26
70.11,-36.666
70.12,-32.928
70.13,-27.539
70.14,-21.047
70.15,-13.638
70.16,-5.874
70.17,2.085
70.18,9.985
70.19,17.851
70.2,25.331
70.21,32.045
70.22,37.465
70.23,41.246
70.24,43.591
70.25,44.684
70.26,44.002
70.27,41.538
70.28,37.626
70.29,32.179
70.3,25.063
70.31,16.844
70.32,8.045
70.33,-0.654
70.34,-9.543
70.35,-17.739
70.36,-25.24
70.37,-31.5
70.38,-36.356
70.39,-39.389
70.4,-41.109
70.41,-41.224
70.42,-39.25
70.43,-35.519
70.44,-30.671
70.45,-24.878
70.46,-18.207
70.47,-11.282
70.48,-4.313
70.49,3.078
70.5,10.212
70.51,16.461
70.52,21.899
70.53,26.122
70.54,29.743
70.55,31.638
70.56,32.598
70.57,31.981
70.58,29.803
70.59,26.634
70.6,22.139
70.61,16.664
70.62,11.396
70.63,6.131
70.64,0.977
70.65,-4.164
70.66,-8.974
70.67,-13.47
70.68,-17.212
70.69,-19.475
70.7,-20.722
70.71,-20.689
70.72,-19.949
70.73,-18.53
70.74,-17.072
70.75,-15.092
70.76,-12.516
70.77,-9.377
70.78,-6.237
70.79,-3.411
70.8,-0.552
70.81,2.296
70.82,4.886
70.83,7.716
70.84,10.818
70.85,13.767
70.86,16.188
70.87,18.325
70.88,19.555
70.89,20.025
70.9,20.841
70.91,21.577
70.92,21.934
70.93,21.567
70.94,21.273
70.95,20.56
70.96,19.402
70.97,17.266
70.98,13.876
70.99,9.998
71,5.199
71.01,-0.17
71.02,-5.559
71.03,-11.025
71.04,-16.262
71.05,-21.058
71.06,-25.445
71.07,-28.574
71.08,-30.714
71.09,-32.153
71.1,-32.177
71.11,-30.99
71.12,-28.439
71.13,-24.491
71.14,-19.595
71.15,-13.029
71.16,-6.313
71.17,0.699
71.18,8.332
71.19,16.092
71.2,23.631
71.21,30.737
71.22,37.421
71.23,43.168
71.24,47.472
71.25,49.518
71.26,49.263
71.27,47.454
71.28,43.342
71.29,38.057
71.3,30.995
71.31,22.791
71.32,13.91
71.33,3.888
71.34,-6.363
71.35,-16.076
71.36,-25.253
71.37,-33.65
71.38,-40.503
71.39,-45.786
71.4,-49.846
71.41,-52.361
71.42,-52.873
71.43,-51.091
71.44,-46.92
71.45,-40.957
71.46,-33.119
71.47,-24.237
71.48,-14.512
71.49,-3.865
71.5,6.429
71.51,16.569
71.52,26.443
71.53,34.567
71.54,40.911
71.55,45.186
71.56,48.157
71.57,49.425
71.58,48.581
71.59,45.712
71.6,41.251
71.61,35.064
71.62,27.781
71.63,19.496
71.64,10.794
71.65,1.659
71.66,-7.779
71.67,-16.61
71.68,-24.462
71.69,-30.928
71.7,-36.272
71.71,-40.389
71.72,-42.958
71.73,-44.265
71.74,-43.782
71.75,-40.945
71.76,-36.147
71.77,-31.114
71.78,-25.577
71.79,-19.278
71.8,-12.858
71.81,-6.328
71.82,0.445
71.83,6.535
71.84,11.79
71.85,16.048
71.86,19.221
71.87,21.103
71.88,22.015
71.89,21.466
71.9,19.58
71.91,16.226
71.92,12.137
71.93,7.925
71.94,4.475
71.95,1.618
71.96,-1.062
71.97,-4.065
71.98,-6.433
71.99,-8
72,-8.546
72.01,-8.387
72.02,-7.604
72.03,-6.741
72.04,-5.344
72.05,-3.243
72.06,-0.666
72.07,2.639
72.08,5.646
72.09,8.247
72.1,9.991
72.11,9.993
72.12,9.561
72.13,9.503
72.14,8.651
72.15,6.646
72.16,3.93
72.17,0.773
72.18,-2.399
72.19,-5.532
72.2,-8.091
72.21,-10.82
72.22,-13.325
72.23,-15.536
72.24,-17.195
72.25,-18.72
72.26,-19.946
72.27,-20.604
72.28,-20.376
72.29,-19.796
72.3,-18.412
72.31,-16.075
72.32,-12.682
72.33,-8.245
72.34,-3.368
72.35,1.006
72.36,4.655
72.37,7.955
72.38,10.561
72.39,12.394
72.4,14.051
72.41,14.99
72.42,15.433
72.43,15.201
72.44,14.881
72.45,14.025
72.46,12.725
72.47,10.724
72.48,8.337
72.49,5.34
72.5,1.942
72.51,-1.783
72.52,-5.593
72.53,-9.155
72.54,-12.415
72.55,-15.078
72.56,-16.694
72.57,-17.327
72.58,-17.269
72.59,-16.394
72.6,-14.175
72.61,-11.083
72.62,-7.953
72.63,-4.981
72.64,-1.469
72.65,2.136
72.66,5.63
72.67,8.74
72.68,10.699
72.69,11.782
72.7,12.282
72.71,11.718
72.72,10.64
72.73,9.009
72.74,6.411
72.75,3.467
72.76,0.974
72.77,-1.43
72.78,-4.171
72.79,-7.328
72.8,-11.082
72.81,-14.287
72.82,-16.584
72.83,-17.633
72.84,-17.461
72.85,-16.951
72.86,-16.133
72.87,-15.227
72.88,-13.534
72.89,-11.529
72.9,-9.293
72.91,-6.441
72.92,-2.893
72.93,0.182
72.94,2.699
72.95,5.448
72.96,8.436
72.97,11.766
72.98,14.386
72.99,16.395
73,17.898
73.01,18.219
73.02,17.239
73.03,15.92
73.04,14.261
73.05,12.161
73.06,9.449
73.07,6.469
73.08,3.215
73.09,-0.267
73.1,-3.903
73.11,-6.973
73.12,-9.908
73.13,-12.699
73.14,-14.876
73.15,-16.566
73.16,-17.983
73.17,-18.866
73.18,-19.589
73.19,-19.621
73.2,-18.476
73.21,-15.843
73.22,-12.326
73.23,-8.535
73.24,-5.208
73.25,-2.051
73.26,0.023
73.27,1.878
73.28,3.583
73.29,5.441
73.3,6.721
73.31,7.884
73.32,9.405
73.33,10.978
73.34,13.129
