t,v
0,211.436
0.009999999776482582,204.642
0.019999999552965164,189.89999999999998
0.029999999329447746,168.11299999999997
0.03999999910593033,140.841
0.04999999888241291,107.302
0.05999999865889549,71.04899999999999
0.06999999843537807,32.013
0.07999999821186066,-6.737999999999996
0.08999999798834324,-46.73499999999999
0.09999999776482582,-82.46199999999999
0.1099999975413084,-113.61699999999999
0.11999999731779099,-138.83800000000002
0.12999999709427357,-158.945
0.13999999687075615,-172.21800000000002
0.14999999664723873,-178.54399999999998
0.1599999964237213,-177.26100000000002
0.1699999962002039,-166.93200000000002
0.17999999597668648,-149.554
0.18999999575316906,-123.11999999999998
0.19999999552965164,-90.791
0.20999999530613422,-57.349999999999994
0.2199999950826168,-21.217999999999996
0.2299999948590994,14.637
0.23999999463558197,51.713
0.24999999441206455,87.393
0.25999999418854713,119.31
0.2699999939650297,143.96400000000003
0.2799999937415123,161.75400000000002
0.2899999935179949,172.631
0.29999999329447746,176.12400000000002
0.30999999307096004,172.322
0.3199999928474426,162.24900000000002
0.3299999926239252,144.12899999999996
0.3399999924004078,119.89199999999998
0.3499999921768904,90.404
0.35999999195337296,57.81400000000001
0.36999999172985554,22.755999999999997
0.3799999915063381,-12.089000000000002
0.3899999912828207,-47.778999999999996
0.3999999910593033,-81.584
0.40999999083578587,-110.946
0.41999999061226845,-131.84300000000002
0.42999999038875103,-144.80100000000002
0.4399999901652336,-150.71699999999998
0.4499999899417162,-149.809
0.4599999897181988,-141.953
0.46999998949468136,-128.42
0.47999998927116394,-109.79299999999999
0.4899999890476465,-83.80199999999999
0.4999999888241291,-52.55299999999999
0.5099999886006117,-18.228
0.5199999883770943,16.241
0.5299999881535769,47.751000000000005
0.5399999879300594,74.809
0.549999987706542,101.982
0.5599999874830246,125.154
0.5699999872595072,141.841
0.5799999870359898,153.541
0.5899999868124723,158.99599999999998
0.5999999865889549,157.65900000000002
0.6099999863654375,147.198
0.6199999861419201,128.59199999999998
0.6299999859184027,104.22699999999999
0.6399999856948853,74.644
0.6499999854713678,39.882000000000005
0.6599999852478504,2.9050000000000047
0.669999985024333,-34.394999999999996
0.6799999848008156,-71.746
0.6899999845772982,-104.659
0.6999999843537807,-132.56
0.7099999841302633,-153.266
0.7199999839067459,-166.34199999999998
0.7299999836832285,-172.559
0.7399999834597111,-171.71599999999998
0.7499999832361937,-161.047
0.7599999830126762,-143.052
0.7699999827891588,-119.79699999999997
0.7799999825656414,-94.096
0.789999982342124,-61.955000000000005
0.7999999821186066,-24.943999999999996
0.8099999818950891,14.266999999999996
0.8199999816715717,53.614000000000004
0.8299999814480543,90.798
0.8399999812245369,123.42399999999999
0.8499999810010195,149.844
0.8599999807775021,169.93599999999998
0.8699999805539846,183.942
0.8799999803304672,191.72500000000002
0.8899999801069498,191.1
0.8999999798834324,182.66299999999998
0.909999979659915,165.99699999999999
0.9199999794363976,139.72199999999998
0.9299999792128801,105.39599999999999
0.9399999789893627,65.10900000000001
0.9499999787658453,23.914000000000005
0.9599999785423279,-18.564999999999998
0.9699999783188105,-63.471999999999994
0.979999978095293,-106.414
0.9899999778717756,-144.588
