T,Sx,Sv,Sa
1,10.98776085580877,68.87796929088465,457.02100121262333
1.01,11.771460636189996,71.35700649914439,468.0221203023408
1.02,12.328054003568807,74.26044360792828,472.1329418107207
1.03,12.63247717075181,76.09409736460125,471.35757863596587
1.04,12.587592139333186,76.3725385310979,459.9159586170209
1.05,12.191746230215687,73.96054519425357,437.84104195100724
1.06,11.406497152287125,68.81791375591015,426.6078825107268
1.07,10.396119753117022,62.258652349374465,395.86845014339576
1.08,9.611148099502318,55.96892388028355,370.24698437143485
1.09,9.99093243004201,53.89445385592848,369.90445553956454
1.1,10.214735944661903,55.20861723435248,371.2340230427997
1.11,10.288311222026417,55.249144641747975,373.39426980332325
1.12,10.166108261832385,54.34941989402587,375.5457761534045
1.13,9.845093977931903,54.34896729796361,376.86043262470736
1.14,9.615522715266927,53.25587170348528,376.58307445309504
1.15,9.68291593035696,54.50352504341449,374.15420173035653
1.16,9.859475355687303,55.31386496615495,369.3322574589394
1.17,10.063770745675862,55.691951872463825,362.24385039826427
1.18,10.260139024360997,55.843224479165606,353.33296672977286
1.19,10.578847395871804,55.54825014217726,353.5630483539889
1.2,10.7865220707676,54.98612123913697,354.21156542926457
1.21,10.89671817221833,54.375713855641045,352.6967818965583
1.22,10.925095646371725,53.60985311039734,347.8356025615834
1.23,10.894129189715901,53.48448421904632,341.1943641331502
1.24,10.83180620783095,54.28653928922465,331.62379526184327
1.25,10.725469572688846,54.768647820573136,320.55367476677446
1.26,10.581256068582444,55.12271045778473,308.65561720377275
1.27,10.400054239504032,55.10219248559083,309.1882639983853
1.28,10.179058583014085,54.88309223024606,310.129128947698
1.29,9.921040205569284,54.30604143117026,311.3566934121682
1.3,9.620681081563518,53.37845720685999,312.6822771675229
1.31,9.274554023805832,52.02752575556661,313.85704384590304
1.32,9.043837013116143,50.428074404211934,314.63286251561294
1.33,8.83185004550749,48.43142860514412,314.81888983709933
1.34,8.721384453887977,46.16375833571328,314.3188403418355
1.35,8.54392234354091,43.93921337736894,313.14007906983693
1.36,8.318842623611289,42.19611433649003,311.3743866249689
1.37,8.062475322332165,41.01127829743329,309.15834657241544
1.38,7.904964727112348,39.81990175885092,306.6262530128199
1.39,7.7363954561536765,38.6232336789051,304.3356471363056
1.4,7.557254199013883,37.40836403619425,301.9421664216437
1.41,7.376060247382712,36.154917862994964,299.2854300395345
1.42,7.17228890850055,34.85113864464544,296.2673047415558
1.43,6.943249617599421,33.49036162120537,292.75997221807
1.44,6.689519173902886,32.05476253004071,288.6415981014184
1.45,6.5456815476215615,30.967723303293397,283.8302079390707
1.46,6.6026242589498185,29.92962669502706,278.308610770179
1.47,6.6598608206589125,28.714728282321815,272.13611356177734
1.48,6.700048343880379,27.34003702834685,265.44605935657745
1.49,6.705631940631922,28.18911895081094,258.4311010146943
1.5,6.685062658523835,28.901477557455955,251.32007570952774
1.51,6.6434081116382355,29.421289915801882,244.3511849711528
1.52,6.687234436252582,29.739599145139067,237.746004910194
1.53,6.909768494927742,29.89631451413308,231.68792896031962
1.54,7.094568345100546,29.95676488441599,226.30733146681783
1.55,7.2220630492349,29.859125928539026,221.67436381053275
1.56,7.283821263096388,29.960185860475477,217.7991025062056
1.57,7.415980801676976,29.96627488335191,214.63790161257663
1.58,7.783140328361036,29.884277092819808,212.10430036544713
1.59,8.171081874281251,30.72418486708478,210.08266649744618
1.6,8.559873051257588,32.79052154289428,208.4428385094809
1.61,9.072817033136687,35.03907336728805,207.05427535688938
1.62,9.712170728697622,37.33205819086071,205.7985475294156
1.63,10.323326880487844,39.49728590094215,204.921122819759
1.64,10.86612268222141,41.369358431618714,214.19164384838643
1.65,11.311692183883164,42.900779291300296,221.3970234053438
1.66,11.650887330910429,43.81026347201485,225.83828596686152
1.67,11.871206165527152,44.50098126457532,227.07958312448784
1.68,11.957483918367723,45.12065456887891,224.98948116718552
1.69,11.904890638080465,45.07909841820117,219.75755610965024
1.7,11.728316158187246,44.53346624406937,213.22464266806497
1.71,11.957753230260979,43.611403889439536,208.40976419007643
1.72,12.203376206578644,42.32997167237047,208.46842971983097
1.73,12.387024322170877,40.84224633364283,210.84092600227046
1.74,12.538499722777194,40.68179576992787,212.9836131593362
1.75,12.651046967544936,41.377248292588405,214.79072725191122
1.76,12.77011116092968,41.957108186963694,216.16608927124167
1.77,12.902314361428283,42.39246701574924,217.02948792725402
1.78,13.081264417054623,42.659804135425254,217.32146739824196
1.79,13.337692242898152,42.75215830160587,217.00624320547087
1.8,13.696727237753144,42.75603628076616,216.07265288277807
1.81,14.174181873396575,42.988703440450486,218.6076059706602
1.82,14.76791781505487,43.87877866542436,221.49043062462795
1.83,15.466087370721262,44.63149804770081,223.9115459792559
1.84,16.24373487982687,46.028141870690014,226.05947895775117
1.85,17.085873204903436,48.21142640229007,229.7844729357067
1.86,17.95411733290447,50.46724396348039,235.53068164803912
1.87,18.82160739558885,53.34287674769733,243.94646628212257
1.88,19.645054354102268,56.1825155929857,251.520740958094
1.89,20.425405070103825,58.77082688653549,257.7584752318363
1.9,21.12672547751968,61.15974556778162,262.2301607553855
1.91,21.737362336228035,63.211117140168426,264.59443170123944
1.92,22.25148505620036,64.9539935174021,264.6115508727587
1.93,22.674552975973377,67.00520563873917,262.14906243804126
1.94,22.993792624605163,68.81858980150598,257.9826854646903
1.95,23.197165267653386,70.28960247252292,259.81036507040204
1.96,23.587493585586888,71.35900111181422,261.35937508681616
1.97,24.105805667334824,71.98097762868423,262.617349150374
1.98,24.5088812959893,72.15850605709754,263.56635275339124
1.99,24.780543208298194,71.82555130874029,264.18333774520346
2,24.952451796660583,71.01034938590317,265.23391062259645
2.01,24.995829507481528,69.76892772411074,276.7852671956755
2.02,24.948289521415667,68.28267253243011,284.10175013919434
2.03,24.77798911245868,67.58042591992178,287.03358013916807
2.04,24.493849766867093,67.36341471257444,285.74391883217544
2.05,24.10517832931477,67.44203868679097,280.6690031632851
2.06,23.62148221243836,66.90560115071857,272.4531034898438
2.07,23.05569929846805,65.98668128201986,261.86718833413477
2.08,22.491206144226588,64.80841532369882,250.59382999184402
2.09,22.322925372371884,63.23706649809624,246.7452382873869
2.1,22.091811926242478,61.573773077482976,242.48806703827248
2.11,21.809703564309444,59.71994460169055,239.0377926834975
2.12,21.52333971085588,57.79950952662491,235.19253797367662
2.13,21.221814852639966,55.98275464133465,231.0918736359669
2.14,20.944761752635262,54.59769987505761,226.9810349320352
2.15,20.678975179495634,54.50806686610507,223.0157428162159
2.16,20.458653465671237,54.480187462676504,219.26586460472384
2.17,20.25252414753188,54.56529255600871,215.72878339708612
2.18,20.068376527135282,54.80749277357853,212.35012049071804
2.19,19.894130917853033,55.24184487266385,209.04878097590677
2.2,19.707876055598287,55.89291732259238,205.74302670505142
2.21,19.51931938676034,56.77391250936886,203.82063580597892
2.22,19.792278753623243,57.88636673545711,205.28240675805586
2.23,20.30710117546982,59.22041432370635,207.46670320493885
2.24,20.882740267976963,60.75557087619992,210.36050341699843
2.25,21.506390870706564,62.46196479243654,213.92821947416166
2.26,22.18417119312641,64.30192666295417,218.1141097520138
2.27,22.917005364994715,66.29846768672407,222.8453164546703
2.28,23.707955636347027,68.35297940760273,228.0353503458461
2.29,24.505282605780643,70.41565001904476,233.58783941056066
2.3,25.317020117530994,72.43697302446422,239.40036248472484
2.31,26.109916012923552,74.36881345268777,245.3682015728824
2.32,26.897584060445585,76.16606374436259,251.38786600104123
2.33,27.66031305785493,77.93590082502662,257.36026593405256
2.34,28.389290536145097,79.50944493406095,263.19344030707197
2.35,29.100086503211376,80.8533337271496,268.8047731355017
2.36,29.778287684782107,82.08750865015914,274.12266089404443
2.37,30.420834559316194,83.0988546261449,279.0876208315148
2.38,31.027647049463372,84.14175066439338,283.65285461349464
2.39,31.59931016361285,85.36678801755123,287.7843027399364
2.4,32.41860527841751,86.48758216912232,291.46024223082475
2.41,34.40268079300038,87.49883803188146,294.67049283846063
2.42,36.36124928701341,88.39277260965359,297.4153054991587
2.43,38.28976802942073,89.73774628765041,300.6855216718779
2.44,40.17914428260401,94.31246182467457,309.1453556503395
2.45,42.01481227801464,98.3827273899398,316.0844039969938
2.46,43.779191352680265,102.13462921258078,321.31564395490585
